Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status
,,,867488061317839,138,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08 06:54:45,,,867488061317839,140,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08 06:56:45,,,867488061317839,142,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08 06:58:45,,,867488061317839,144,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08 06:58:46,2025-05-08 06:58:46,2025-05-08 06:40:20,867488061317839,146,GTIGN,0x09fe7fbf,,802003,0x0a04,0x0a14,100,12558,0,0,1,0,21,12,40185,0,0.0,194,364,-23.270.016,-51.167.876,724,6,c4a7,07a5cc35,0.0,972.7,00:00:00,56:43:31,-,-,01a2cb5224000088,-,,,,,,,,,,
2025-05-08 06:58:46,2025-05-08 06:58:46,2025-05-08 06:40:20,867488061317839,147,GTSTT,0x09fe7fbf,,802003,0x0a04,0x0a14,100,12558,0,0,1,0,21,12,-,0,0.0,194,364,-23.270.016,-51.167.876,724,6,c4a7,07a5cc35,0.0,972.7,00:00:00,56:43:31,-,-,0,-,,,,,,,,,,
2025-05-08 06:58:57,2025-05-08 06:58:58,2025-05-08 06:58:57,867488061317839,148,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12050,0,-,1,0,21,12,-,1,0.0,194,539,-23.270.341,-51.167.761,724,6,c4a7,07a5cc35,0.0,972.7,00:00:09,56:43:40,-,-,0,-,,,,,4,28,0,0,10,
2025-05-08 06:58:57,2025-05-08 06:58:58,2025-05-08 06:58:57,867488061317839,149,GTIGL,0x09fe7fbf,,802003,0x0a04,0x0a14,100,12050,0,0,1,0,21,12,-,1,0.0,194,539,-23.270.341,-51.167.761,724,6,c4a7,07a5cc35,0.0,972.7,00:00:09,56:43:40,-,-,0,-,,,,,,,,,,
2025-05-08 06:59:04,2025-05-08 06:59:04,2025-05-08 06:59:04,867488061317839,150,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,14421,0,-,1,1,21,12,-,1,3.2,280,544,-23.270.329,-51.167.771,724,6,c4a7,07a5cc35,0.0,972.7,00:00:18,56:43:49,-,-,0,-,,,,,4,28,0,0,11,
2025-05-08 06:59:05,2025-05-08 06:59:06,2025-05-08 06:59:05,867488061317839,151,GTSTT,0x09fe7fbf,,802003,0x0a04,0x0a14,100,14421,0,0,1,1,22,12,-,1,4.0,276,545,-23.270.318,-51.167.779,724,6,c4a7,07a5cc35,0.0,972.7,00:00:18,56:43:49,-,-,0,-,,,,,,,,,,
