mrveqpmsgid,veiPlaca,TCBICCID,veiid,eqpID,tcbserie,mrvDataHoraInc,Data/Hora Evento,delay,Latitude,Longitude,N Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Tipo Mensagem,mrvOdometroTotal,mrvOdometro,Unnamed: 20,Match_Type,Match_ID,Message_Category
26345,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 06:45:20.187,2025-05-08 06:45:19,1,-2327035,-5116762,8,Válido,0,12923,0,760,Modo Econômico,"80387,3",8668.30,NA,0,X
26346,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 06:58:45.237,2025-05-08 06:58:44,1,-2327035,-5116762,8,Válido,0,12547,0,667,GTIGN,"80387,3",8668.30,NA,0,X
26347,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 06:58:51.060,2025-05-08 06:58:50,1,-2327035,-5116762,0,Inválido,0,12379,0,668,GIIGF,"80387,3",8668.30,NA,0,X
26348,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 06:58:53.350,2025-05-08 06:58:52,1,-2327035,-5116762,8,Válido,0,11642,0,667,GTIGN,"80387,3",8668.30,NA,0,X
26349,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 06:58:58.653,2025-05-08 06:58:58,0,-2327034,-5116748,7,Válido,0,14308,0,761,GTERI,"80387,3",8668.30,NA,0,X
26350,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:00:52.360,2025-05-08 07:00:51,1,-2326803,-5116780,16,Válido,10,14348,0,904,Posicionamento por mudança de direção,"80387,6",8668.60,NA,0,X
26351,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:01:19.077,2025-05-08 07:01:18,1,-2326808,-5116965,17,Válido,11,14140,0,904,Posicionamento por mudança de direção,"80387,7",8668.70,NA,0,X
26355,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:02:09.067,2025-05-08 07:02:08,1,-2326781,-5117243,15,Válido,0,14148,0,668,GIIGF,"80388,1",8669.10,NA,0,X
26356,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:02:09.790,2025-05-08 07:02:09,0,-2326781,-5117243,16,Válido,0,13716,0,760,Modo Econômico,"80388,1",8669.10,NA,0,X
26357,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:04:55.313,2025-05-08 07:04:54,1,-2326781,-5117243,16,Válido,0,13019,0,667,GTIGN,"80388,1",8669.10,NA,0,X
26358,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:04:57.060,2025-05-08 07:04:56,1,-2326781,-5117243,0,Inválido,0,12987,0,668,GIIGF,"80388,1",8669.10,NA,0,X
26359,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:04:59.060,2025-05-08 07:04:58,1,-2326781,-5117243,16,Válido,0,12651,0,667,GTIGN,"80388,1",8669.10,NA,0,X
26360,BAA1364,'8,95540000003521E+019',208363,346911,862689070266025,2025-05-08 07:05:04.097,2025-05-08 07:05:03,1,-2326779,-5117249,11,Válido,1,14244,0,761,GTERI,"80388,1",8669.10,NA,0,X
