Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,Message_Category,Match_Type,Match_ID,delta,Delta,Tempo de fix,Match_Complete
2025-06-05 15:23:55,2025-06-05 15:23:54,2025-06-05 15:11:36,867488061407846,24874,GTIGN,0x09fe7fbf,,802003,0x0a04,0x0a14,100,12087,0,0,1,0,22,12,444891,0,0.0,92,699,-12.097602,-45.771993,724,11,c4c9,00031f0b,0.0,1287.7,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,,X,NA,0,,,738.0,NA_0
2025-06-05 15:24:02,2025-06-05 15:24:01,2025-06-05 15:24:02,867488061407846,24876,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,11486,0,-,1,0,22,12,-,1,0.0,32,758,-12.096466,-45.772424,724,11,c4c9,00031f0b,0.0,1287.7,0:00:00,0:00:00,-,-,0,-,,,,,4,1,0,0,10,,T,T5,1,,4.0,-1.0,T5_1
2025-06-05 15:24:07,2025-06-05 15:24:07,2025-06-05 15:24:07,867488061407846,24878,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13880,0,-,1,0,22,12,-,1,3.5,254,776,-12.096497,-45.772292,724,11,c4c9,00031f0b,0.0,1287.7,0:00:00,0:00:00,-,-,0,-,,,,,4,1,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:25:07,2025-06-05 15:25:07,2025-06-05 15:25:07,867488061407846,24880,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13851,0,-,1,0,22,12,-,1,18.0,308,799,-12.095375,-45.774222,724,11,c4c9,00031f01,0.4,1288.1,0:00:00,0:00:00,-,-,0,-,,,,,4,7,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:25:09,2025-06-05 15:25:09,2025-06-05 15:25:09,867488061407846,24881,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13851,0,-,1,0,22,12,-,1,14.8,349,800,-12.095313,-45.774248,724,11,c4c9,00031f01,0.4,1288.1,0:00:00,0:00:00,-,-,0,-,,,,,4,7,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:25:26,2025-06-05 15:25:26,2025-06-05 15:25:26,867488061407846,24882,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13859,0,-,1,0,22,12,-,1,15.3,22,803,-12.094451,-45.774314,724,11,c4c9,10102,0.5,1288.2,0:00:00,0:00:00,-,-,0,-,,,,,4,7,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:25:28,2025-06-05 15:25:28,2025-06-05 15:25:28,867488061407846,24883,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13859,0,-,1,0,22,12,-,1,20.6,65,803,-12.094399,-45.774236,724,11,c4c9,10102,0.5,1288.2,0:00:00,0:00:00,-,-,0,-,,,,,4,7,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:25:40,2025-06-05 15:25:40,2025-06-05 15:25:40,867488061407846,24884,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13888,0,-,1,0,22,12,-,1,21.0,22,804,-12.094202,-45.773475,724,11,c4c9,0002ed16,0.6,1288.3,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:25:42,2025-06-05 15:25:42,2025-06-05 15:25:42,867488061407846,24886,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13888,0,-,1,0,22,12,-,1,21.2,337,805,-12.094101,-45.773484,724,11,c4c9,00091c0e,0.6,1288.3,0:00:00,0:00:00,-,-,0,-,,,,,4,1,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:25:44,2025-06-05 15:25:44,2025-06-05 15:25:44,867488061407846,24887,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13888,0,-,1,0,22,12,-,1,23.5,293,804,-12.09404,-45.77357,724,11,c4c9,0002ed16,0.6,1288.3,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:25:48,2025-06-05 15:25:48,2025-06-05 15:25:48,867488061407846,24888,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13888,0,-,1,0,22,12,-,1,33.6,263,803,-12.094046,-45.77387,724,11,c4c9,00091c0e,0.6,1288.4,0:00:00,0:00:00,-,-,0,-,,,,,4,1,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:25:55,2025-06-05 15:25:55,2025-06-05 15:25:55,867488061407846,24889,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13804,0,-,1,0,22,12,-,1,18.5,312,802,-12.094068,-45.774342,724,11,c4c9,00031f15,0.7,1288.4,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:25:57,2025-06-05 15:25:57,2025-06-05 15:25:57,867488061407846,24890,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13864,0,-,1,0,22,12,-,1,22.1,344,801,-12.093977,-45.774381,724,11,c4c9,00031f15,0.7,1288.4,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:27:03,2025-06-05 15:27:03,2025-06-05 15:27:02,867488061407846,24891,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13919,0,-,1,0,22,12,-,1,28.8,352,789,-12.089258,-45.774971,724,11,c4c9,10116,1.2,1289.0,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,10,,T,T1,1,,1.0,1.0,T1_1
2025-06-05 15:27:06,2025-06-05 15:27:06,2025-06-05 15:27:06,867488061407846,24893,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13919,0,-,1,0,22,12,-,1,14.4,315,788,-12.089073,-45.775019,724,11,c4c9,10116,1.2,1289.0,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:27:08,2025-06-05 15:27:08,2025-06-05 15:27:08,867488061407846,24894,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13649,0,-,1,0,22,12,-,1,10.4,270,788,-12.089068,-45.775077,724,11,c4c9,10116,1.2,1289.0,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,11,,T,NA,0,,,0.0,NA_0
2025-06-05 15:27:18,2025-06-05 15:27:17,2025-06-05 15:27:17,867488061407846,24895,GTIGF,0x09fe7fbf,,802003,0x0a04,0x0a14,100,13757,0,0,0,0,12,12,203,1,0.2,270,787,-12.089102,-45.775222,724,11,c4c9,10116,1.3,1289.0,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,,X,NA,0,,,0.0,NA_0
