Match_Type,Match_ID,Diferença de Velocidade,Diferença Angular,Distância,Discrepancia,Distancia esperada,Match_Complete
T5,1,5.0,115.0,120.39,117.61,2.78,T5_1
T1,1,1.2,1.0,21.66,13.49,8.17,T1_1
T1,2,-0.1,11.0,9.61,9.6,0.01,T1_2
T5,2,1.0,71.0,8.86,8.3,0.56,T5_2
T10,1,13.3,9.0,105.32,9.36,95.96,T10_1
T10,2,0.0,15.0,4.01,4.01*,0.0,T10_2
T1,3,0.0,4.0,5.14,5.14*,0.0,T1_3
T1,4,1.0,160.0,4.35,4.21,0.14,T1_4
T10,3,2.0,4.0,93.37,8.37,85.0,T10_3
T5,3,0.0,14.0,1.41,1.41*,0.0,T5_3
T5,4,9.6,0.0,47.37,0.63,48.0,T5_4
T5,5,-9.2,5.0,13.37,5.07,18.44,T5_5
T5,6,0.0,9.0,3.39,3.39*,0.0,T5_6
T5,7,14.0,2.0,20.68,12.9,7.78,T5_7
T10,4,1.6,0.0,118.85,0.15,119.0,T10_4
T10,5,16.3,1.0,39.72,16.38,56.1,T10_5
T10,6,-14.5,1.0,66.17,3.46,62.71,T10_6
T10,7,-16.0,12.0,10.79,4.77,15.56,T10_7
T10,8,4.5,1.0,47.04,4.75,42.29,T10_8
T10,9,-4.3,2.0,2.59,2.59*,5.38,T10_9
T5,8,3.0,117.0,6.83,5.16,1.67,T5_8
T5,9,6.8,5.0,10.1,3.9,14.0,T5_9
T5,10,-9.1,5.0,37.98,1.81,36.17,T5_10
T5,11,7.3,28.0,5.55,1.87,7.42,T5_11
T10,10,-8.5,6.0,7.73,4.08,11.81,T10_10
T5,12,1.0,158.0,6.92,6.23,0.69,T5_12
T1,5,2.1,1.0,1.48,1.48*,0.0,T1_5
T10,11,-13.5,30.0,12.24,6.51,18.75,T10_11
T10,12,0.0,30.0,3.29,3.29*,0.0,T10_12
T10,13,0.0,30.0,3.29,3.29*,0.0,T10_13
T10,14,0.0,30.0,3.29,3.29*,0.0,T10_14
T10,15,-13.1,138.0,8.36,6.2,14.56,T10_15
T10,16,0.0,11.0,2.76,2.76*,0.0,T10_16
T10,17,0.0,11.0,2.76,2.76*,0.0,T10_17
T10,18,0.0,11.0,2.76,2.76*,0.0,T10_18
T10,19,0.0,11.0,2.76,2.76*,0.0,T10_19
T10,20,0.0,11.0,2.76,2.76*,0.0,T10_20
T10,21,0.0,11.0,2.76,2.76*,0.0,T10_21
T10,22,0.0,11.0,2.76,2.76*,0.0,T10_22
T10,23,0.0,11.0,2.76,2.76*,0.0,T10_23
T5,13,0.0,81.0,8.04,8.04*,0.0,T5_13
T5,14,0.0,81.0,8.04,8.04*,0.0,T5_14
T1,6,1.0,142.0,145.58,145.44,0.14,T1_6
T5,15,11.1,1.0,39.83,2.66,37.17,T5_15
T5,16,10.7,14.0,48.49,4.45,52.94,T5_16
T5,17,-0.6,0.0,43.5,3.17,40.33,T5_17
T5,18,0.0,2.0,4.46,4.46*,0.0,T5_18
T5,19,0.0,129.0,4.22,4.22*,0.0,T5_19
T5,20,-1.9,0.0,24.79,1.29,26.08,T5_20
T5,21,6.5,0.0,22.09,1.12,20.97,T5_21
T10,24,-8.5,37.0,7.26,2.18,9.44,T10_24
T5,22,-0.1,172.0,4.02,3.99,0.03,T5_22
T5,23,7.0,48.0,12.62,2.8,15.42,T5_23
T10,25,-11.8,142.0,9.35,3.76,13.11,T10_25
T10,26,0.0,29.0,1.81,1.81*,0.0,T10_26
T10,27,0.0,29.0,1.81,1.81*,0.0,T10_27
T10,28,0.0,29.0,1.81,1.81*,0.0,T10_28
T10,29,0.0,29.0,1.81,1.81*,0.0,T10_29
T10,30,0.0,29.0,1.81,1.81*,0.0,T10_30
T10,31,0.0,29.0,1.81,1.81*,0.0,T10_31
T10,32,0.0,29.0,1.81,1.81*,0.0,T10_32
T10,33,0.0,29.0,1.81,1.81*,0.0,T10_33
T10,34,0.0,29.0,1.81,1.81*,0.0,T10_34
T10,35,0.0,29.0,1.81,1.81*,0.0,T10_35
T10,36,0.0,29.0,1.81,1.81*,0.0,T10_36
T5,24,0.0,113.0,4.05,4.05*,0.0,T5_24
T10,37,0.0,113.0,4.05,4.05*,0.0,T10_37
T5,25,0.0,113.0,4.05,4.05*,0.0,T5_25
T10,38,0.0,113.0,4.05,4.05*,0.0,T10_38
T10,39,0.0,113.0,4.05,4.05*,0.0,T10_39
T5,26,0.0,113.0,4.05,4.05*,0.0,T5_26
T10,40,0.0,113.0,4.05,4.05*,0.0,T10_40
T10,41,0.0,113.0,4.05,4.05*,0.0,T10_41
