Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,
2025-04-25 17:24:28,2025-04-25 17:24:28,2025-04-25 17:24:28,86748861317839,10218,GTIGL,0x09fe7fbf,,802003,0x0902,0x0915,100,14343,0,0,1,0,22,6,-,5,0.0,00fd,551,-23329643,-51177549,724,6,c4a7,07a7140c,0.0,445.7,00:01:12,37:19:51,-,-,0,-,,,,,,,,,
2025-04-25 17:24:38,2025-04-25 17:24:38,2025-04-25 17:24:38,86748861317839,10219,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14320,0,-,1,1,22,8,-,2,5.6,009e,556,-23329683,-51177568,724,6,c4a7,07a7140c,0.0,445.7,00:01:21,37:20:00,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:25:01,2025-04-25 17:25:02,2025-04-25 17:25:01,86748861317839,10220,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14271,0,-,1,1,22,12,-,1,3.0,00c4,561,-23330101,-51177557,724,6,c4a7,07a7140c,0.0,445.7,00:01:45,37:20:24,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:25:25,2025-04-25 17:25:25,2025-04-25 17:25:25,86748861317839,10221,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14312,0,-,1,1,22,12,-,1,24.8,99,568,-23330527,-5117762,724,6,c4a7,07a7140c,0.1,445.7,00:02:09,37:20:48,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:25:28,2025-04-25 17:25:28,2025-04-25 17:25:28,86748861317839,10222,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14328,0,-,1,1,22,12,-,1,25.7,006f,569,-23330661,-51177462,724,6,c4a7,07a7140c,0.1,445.8,00:02:12,37:20:51,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:25:30,2025-04-25 17:25:30,2025-04-25 17:25:30,86748861317839,10223,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14230,0,-,1,1,22,12,-,1,29.3,004d,569,-23330662,-51177313,724,6,c4a7,07a7140c,0.1,445.8,00:02:15,37:20:54,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:25:33,2025-04-25 17:25:33,2025-04-25 17:25:33,86748861317839,10224,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14319,0,-,1,1,22,12,-,1,30.5,25,569,-23330528,-51177121,724,6,c4a7,07a7140c,0.2,445.8,00:02:18,37:20:57,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:25:35,2025-04-25 17:25:35,2025-04-25 17:25:35,86748861317839,10225,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14256,0,-,1,1,22,12,-,1,30.6,2,568,-23330387,-51177091,724,6,c4a7,07a7140c,0.2,445.8,00:02:18,37:20:57,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:25:37,2025-04-25 17:25:37,2025-04-25 17:25:37,86748861317839,10226,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14307,0,-,1,1,22,12,-,1,30.8,147,568,-23330247,-51177153,724,6,c4a7,07a7140c,0.2,445.8,00:02:21,37:21:00,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:25:42,2025-04-25 17:25:42,2025-04-25 17:25:42,86748861317839,10227,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14307,0,-,1,1,22,12,-,1,36.1,166,567,-23329874,-51177307,724,6,c4a7,07a7140c,0.2,445.9,00:02:27,37:21:06,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:26:20,2025-04-25 17:26:20,2025-04-25 17:26:18,86748861317839,10228,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14185,0,-,1,1,22,12,-,1,0.0,166,559,-23327428,-51177237,724,6,c4a7,07a71503,0.5,446.2,00:03:03,37:21:42,-,-,0,-,,,,,4,7,0,0,
2025-04-25 17:27:18,2025-04-25 17:27:18,2025-04-25 17:27:17,86748861317839,10229,GTDAT,0x09fe7fbf,,802003,0x0902,0x0915,100,14100,0,0,1,1,22,12,-,1,0.0,166,554,-23326675,-51177236,724,6,c4a7,07a7140b,0.6,446.2,00:04:03,37:22:42,-,-,0,-,Timeout ID,,,,,,,,
2025-04-25 17:27:58,2025-04-25 17:27:58,2025-04-25 17:27:58,86748861317839,10230,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14227,0,-,1,1,22,12,-,1,24.0,001d,548,-23326325,-51177188,724,6,c4a7,07a7140b,0.6,446.2,00:04:42,37:23:21,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:28:40,2025-04-25 17:28:40,2025-04-25 17:28:40,86748861317839,10231,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14160,0,-,1,1,22,12,-,1,22.4,43,542,-23325381,-51176536,724,6,c4a7,07a7140b,0.7,446.4,00:05:24,37:24:03,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:28:59,2025-04-25 17:29:00,2025-04-25 17:28:59,86748861317839,10232,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14229,0,-,1,1,22,12,-,1,22.8,21,541,-23325246,-51176065,724,6,c4a7,07a7140b,0.7,446.4,00:05:45,37:24:24,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:29:01,2025-04-25 17:29:01,2025-04-25 17:29:01,86748861317839,10233,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14229,0,-,1,1,22,12,-,1,27.0,3,542,-23325124,-51176032,724,6,c4a7,07a7140b,0.8,446.4,00:05:45,37:24:24,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:29:20,2025-04-25 17:29:20,2025-04-25 17:29:18,86748861317839,10234,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14219,0,-,1,1,22,12,-,1,32.3,162,552,-2332378,-51176088,724,6,c4a7,07a7140b,0.9,446.6,00:06:03,37:24:42,-,-,0,-,,,,,4,1,0,0,
2025-04-25 17:30:52,,,,10235,GTASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25 17:32:20,2025-04-25 17:32:20,2025-04-25 17:32:18,86748861317839,10236,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14194,0,-,1,1,22,12,-,1,6.9,161,590,-2331536,-51177218,724,6,c4a7,07a55302,1.8,447.5,00:09:03,37:27:42,-,-,0,-,,,,,4,7,0,0,
2025-04-25 17:32:36,2025-04-25 17:32:36,2025-04-25 17:32:36,86748861317839,10237,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14131,0,-,1,1,22,12,-,1,19.9,001c,591,-23315059,-51177206,724,6,c4a7,07a55302,1.8,447.5,00:09:21,37:28:00,-,-,0,-,,,,,4,7,0,0,
2025-04-25 17:32:43,2025-04-25 17:32:43,2025-04-25 17:32:43,86748861317839,10238,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14131,0,-,1,1,22,12,-,1,28.8,015c,590,-23314617,-5117703,724,6,c4a7,07a55302,1.9,447.6,00:09:27,37:28:06,-,-,0,-,,,,,4,7,0,0,
2025-04-25 17:32:46,2025-04-25 17:32:46,2025-04-25 17:32:46,86748861317839,10239,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14131,0,-,1,1,22,12,-,1,21.9,136,591,-23314448,-51177154,724,6,c4a7,07a55302,1.9,447.6,00:09:30,37:28:09,-,-,0,-,,,,,4,7,0,0,
2025-04-25 17:32:51,2025-04-25 17:32:51,2025-04-25 17:32:51,86748861317839,10240,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,14080,0,-,1,1,22,12,-,1,33.8,155,593,-23314197,-51177379,724,6,c4a7,07a55302,2.0,447.6,00:09:36,37:28:15,-,-,0,-,,,,,4,7,0,0,
2025-04-25 17:33:02,2025-04-25 17:33:02,2025-04-25 17:33:02,86748861317839,10241,GTSPD,0x09fe7fbf,,802003,0x0902,0x0915,100,14065,0,0,1,1,22,12,-,1,50.5,160,598,-23312989,-51177553,724,6,c4a7,07a55302,2.1,447.8,00:09:48,37:28:27,-,-,0,-,,,,,,,,,
2025-04-25 17:33:03,2025-04-25 17:33:03,2025-04-25 17:33:03,86748861317839,10242,GTSPD,0x09fe7fbf,,802003,0x0902,0x0915,100,14065,0,0,1,1,22,12,-,1,49.2,160,598,-23312866,-5117757,724,6,c4a7,07a55302,2.1,447.8,00:09:48,37:28:27,-,-,0,-,,,,,,,,,
2025-04-25 17:33:06,2025-04-25 17:33:06,2025-04-25 17:33:06,86748861317839,10243,GTSPD,0x09fe7fbf,,802003,0x0902,0x0915,100,13999,0,0,1,1,22,12,-,1,52.2,160,598,-2331249,-51177624,724,6,c4a7,07a55302,2.2,447.8,00:09:51,37:28:30,-,-,0,-,,,,,,,,,
2025-04-25 17:33:14,2025-04-25 17:33:15,2025-04-25 17:33:14,86748861317839,10244,GTSPD,0x09fe7fbf,,802003,0x0902,0x0915,100,14009,0,0,1,1,22,12,-,1,48.7,160,597,-23311337,-51177781,724,6,c4a7,07b11102,2.3,447.9,00:10:00,37:28:39,-,-,0,-,,,,,,,,,
