mrveqpmsgid,veiPlaca,TCBICCID,veiid,eqpID,tcbserie,mrvDataHoraInc,mrvDataHoraExibicao,delay,Latitude,Longitude,N Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Evento Gerador,mrvOdometroTotal,mrvOdometro
2151,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 06:04:12.923,2025-05-06 06:04:12.0000000 -03:00,0,-1.209.748,-4.577.186,10,Válido,0,12.730,0,760,Modo Econômico,"6168,9",562.90
2152,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 08:04:08.220,2025-05-06 08:04:05.0000000 -03:00,3,-1.209.751,-4.577.164,15,Válido,0,12.722,0,760,Modo Econômico,"6168,9",562.90
2153,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 08:10:37.063,2025-05-06 08:10:36.0000000 -03:00,1,-1.209.751,-4.577.164,15,Válido,0,12.388,0,667,Ignição ligada,"6168,9",562.90
2156,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 08:10:46.180,2025-05-06 08:10:45.0000000 -03:00,1,-1.209.742,-4.577.178,14,Válido,0,12.842,0,761,Posicionamento por tempo em movimento,"6168,9",562.90
2158,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 08:13:46.130,2025-05-06 08:13:45.0000000 -03:00,1,-1.208.958,-4.577.489,15,Válido,33,14.037,0,761,Posicionamento por tempo em movimento,"6170,2",564.20
2161,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 08:16:46.173,2025-05-06 08:16:45.0000000 -03:00,1,-1.208.755,-4.577.198,18,Válido,33,14.037,0,761,Posicionamento por tempo em movimento,"6172,2",566.20
2162,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 08:17:47.097,2025-05-06 08:17:46.0000000 -03:00,1,-1.208.698,-4.577.022,18,Válido,0,14.006,0,668,Ignição desligada,"6172,4",566.40
2163,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 08:17:47.830,2025-05-06 08:17:47.0000000 -03:00,0,-1.208.698,-4.577.022,18,Válido,0,14.037,0,760,Modo Econômico,"6172,4",566.40
2164,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 08:47:11.043,2025-05-06 08:47:10.0000000 -03:00,1,-1.208.698,-4.577.022,18,Válido,0,12.507,0,667,Ignição ligada,"6172,4",566.40
2167,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 08:47:20.143,2025-05-06 08:47:19.0000000 -03:00,1,-1.208.704,-4.577.023,11,Válido,2,13.790,0,761,Posicionamento por tempo em movimento,"6172,4",566.40
2168,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 08:48:11.063,2025-05-06 08:48:10.0000000 -03:00,1,-1.208.721,-4.577.044,14,Válido,0,13.966,0,668,Ignição desligada,"6172,4",566.40
2169,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 08:48:11.703,2025-05-06 08:48:10.0000000 -03:00,1,-1.208.721,-4.577.044,14,Válido,0,13.958,0,760,Modo Econômico,"6172,4",566.40
2170,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:04:13.120,2025-05-06 09:04:12.0000000 -03:00,1,-1.208.721,-4.577.044,14,Válido,0,12.467,0,667,Ignição ligada,"6172,4",566.40
2172,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:04:21.157,2025-05-06 09:04:20.0000000 -03:00,1,-1.208.727,-4.577.044,13,Válido,3,13.814,0,761,Posicionamento por tempo em movimento,"6172,4",566.40
2175,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:07:23.327,2025-05-06 09:07:20.0000000 -03:00,3,-1.208.947,-4.578.223,17,Válido,45,14.022,0,761,Posicionamento por tempo em movimento,"6173,8",567.80
2178,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:10:21.020,2025-05-06 09:10:20.0000000 -03:00,1,-1.208.738,-4.576.568,17,Válido,55,13.185,0,761,Posicionamento por tempo em movimento,6176,570.00
2180,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:13:21.107,2025-05-06 09:13:20.0000000 -03:00,1,-1.208.397,-4.574.015,17,Válido,65,14.053,0,761,Posicionamento por tempo em movimento,"6178,8",572.80
2183,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:21:29.273,2025-05-06 09:16:20.0000000 -03:00,309,-1.208.046,-4.571.335,17,Válido,59,13.527,1,761,Posicionamento por tempo em movimento,"6181,8",575.80
2184,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:22:10.427,2025-05-06 09:19:20.0000000 -03:00,170,-1.207.607,-4.568.002,17,Válido,84,12.938,1,761,Posicionamento por tempo em movimento,"6185,5",579.50
2185,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:22:21.117,2025-05-06 09:22:20.0000000 -03:00,1,-1.207.155,-4.564.568,17,Válido,79,12.993,0,761,Posicionamento por tempo em movimento,"6189,2",583.20
2188,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:25:21.113,2025-05-06 09:25:20.0000000 -03:00,1,-1.206.629,-4.560.587,17,Válido,85,13.001,0,761,Posicionamento por tempo em movimento,"6193,6",587.60
2190,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:27:35.093,2025-05-06 09:27:34.0000000 -03:00,1,-1.206.344,-4.558.450,16,Válido,0,14.022,0,668,Ignição desligada,6196,590.00
2191,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:27:36.110,2025-05-06 09:27:34.0000000 -03:00,2,-1.206.344,-4.558.450,16,Válido,0,14.022,0,760,Modo Econômico,6196,590.00
2192,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:42:53.023,2025-05-06 09:42:52.0000000 -03:00,1,-1.206.344,-4.558.450,16,Válido,0,12.667,0,667,Ignição ligada,6196,590.00
2195,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:43:01.070,2025-05-06 09:43:00.0000000 -03:00,1,-1.206.343,-4.558.451,15,Válido,1,12.746,0,761,Posicionamento por tempo em movimento,6196,590.00
2197,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:46:01.277,2025-05-06 09:46:00.0000000 -03:00,1,-1.206.345,-4.558.449,16,Válido,0,14.014,0,761,Posicionamento por tempo em movimento,6196,590.00
2200,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:49:01.820,2025-05-06 09:49:00.0000000 -03:00,1,-1.206.345,-4.558.449,18,Válido,0,13.998,0,761,Posicionamento por tempo em movimento,6196,590.00
2202,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:52:01.820,2025-05-06 09:52:00.0000000 -03:00,1,-1.206.345,-4.558.449,17,Válido,0,14.045,0,761,Posicionamento por tempo em movimento,6196,590.00
2205,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:55:01.070,2025-05-06 09:55:00.0000000 -03:00,1,-1.206.345,-4.558.449,18,Válido,0,14.022,0,761,Posicionamento por tempo em movimento,6196,590.00
2207,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 09:58:08.840,2025-05-06 09:58:00.0000000 -03:00,8,-1.206.345,-4.558.449,19,Válido,0,14.022,0,761,Posicionamento por tempo em movimento,6196,590.00
2211,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 10:01:01.097,2025-05-06 10:01:00.0000000 -03:00,1,-1.206.392,-4.558.447,19,Válido,15,14.085,0,761,Posicionamento por tempo em movimento,6196,590.00
2213,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 10:04:01.137,2025-05-06 10:04:00.0000000 -03:00,1,-1.205.441,-4.557.768,19,Válido,80,13.041,0,761,Posicionamento por tempo em movimento,"6198,3",592.30
2216,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 10:07:01.353,2025-05-06 10:07:00.0000000 -03:00,1,-1.202.812,-4.557.523,19,Válido,101,13.041,0,761,Posicionamento por tempo em movimento,"6201,2",595.20
2218,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 11:40:56.110,2025-05-06 10:10:00.0000000 -03:00,5456,-1.198.232,-4.558.375,19,Válido,107,13.017,1,761,Posicionamento por tempo em movimento,"6206,5",600.50
2219,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 11:40:59.367,2025-05-06 10:13:00.0000000 -03:00,5279,-1.193.953,-4.559.751,20,Válido,100,13.017,1,761,Posicionamento por tempo em movimento,"6211,5",605.50
2220,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 11:41:40.310,2025-05-06 10:16:00.0000000 -03:00,5140,-1.189.477,-4.561.184,19,Válido,98,13.001,1,761,Posicionamento por tempo em movimento,"6216,7",610.70
2221,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 11:41:41.177,2025-05-06 10:19:00.0000000 -03:00,4961,-1.184.727,-4.561.449,20,Válido,110,13.017,1,761,Posicionamento por tempo em movimento,"6222,1",616.10
2222,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 11:41:41.887,2025-05-06 10:22:00.0000000 -03:00,4781,-1.180.151,-4.560.904,19,Válido,100,13.464,1,761,Posicionamento por tempo em movimento,"6227,2",621.20
2223,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 11:41:42.833,2025-05-06 10:22:20.0000000 -03:00,4762,-1.179.478,-4.560.913,19,Válido,120,13.001,1,737,Velocidade máxima excedida,"6227,9",621.90
2224,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-06 11:41:43.500,2025-05-06 10:22:28.0000000 -03:00,4755,-1.179.239,-4.560.933,19,Válido,119,14.077,1,871,Retorno à velocidade normal,"6228,2",622.20
