mrveqpmsgid,veiPlaca,TCBICCID,veiid,eqpID,tcbserie,mrvDataHoraInc,mrvDataHoraExibicao,delay,Latitude,Longitude,N Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Evento Gerador,mrvOdometroTotal,mrvOdometro
764,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 13:51:16.200,2025-04-23 13:50:13.0000000 -03:00,63,-1.209.757,-4.577.199,13,Válido,0,12.818,1,667,Ignição ligada,5617,11.00
767,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 13:51:19.677,2025-04-23 13:50:22.0000000 -03:00,57,-1.209.758,-4.577.196,11,Válido,5,12.563,0,761,Posicionamento por tempo em movimento,5617,11.00
769,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 13:53:18.637,2025-04-23 13:53:18.0000000 -03:00,0,-1.209.110,-4.577.468,18,Válido,28,13.121,0,761,Posicionamento por tempo em movimento,"5618,2",12.20
771,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 13:56:18.740,2025-04-23 13:56:18.0000000 -03:00,0,-1.208.599,-4.575.458,18,Válido,23,14.037,0,761,Posicionamento por tempo em movimento,"5620,6",14.60
774,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 13:58:57.803,2025-04-23 13:58:57.0000000 -03:00,0,-1.208.730,-4.577.071,18,Válido,0,14.006,0,668,Ignição desligada,"5622,4",16.40
775,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 13:58:58.310,2025-04-23 13:58:57.0000000 -03:00,1,-1.208.730,-4.577.071,18,Válido,0,14.006,0,760,Modo Econômico,"5622,4",16.40
776,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 14:27:03.743,2025-04-23 14:27:03.0000000 -03:00,0,-1.208.730,-4.577.071,18,Válido,0,12.810,0,667,Ignição ligada,"5622,4",16.40
779,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 14:27:11.757,2025-04-23 14:27:11.0000000 -03:00,0,-1.208.730,-4.577.071,14,Válido,0,13.687,0,668,Ignição desligada,"5622,4",16.40
780,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 14:27:12.760,2025-04-23 14:27:11.0000000 -03:00,1,-1.208.730,-4.577.071,14,Válido,0,13.687,0,760,Modo Econômico,"5622,4",16.40
781,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 15:27:10.610,2025-04-23 15:27:08.0000000 -03:00,2,-1.208.730,-4.577.071,13,Válido,0,12.954,0,760,Modo Econômico,"5622,4",16.40
782,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 16:25:33.530,2025-04-23 16:25:31.0000000 -03:00,2,-1.208.730,-4.577.071,10,Válido,0,12.722,0,667,Ignição ligada,"5622,4",16.40
785,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 16:25:42.903,2025-04-23 16:25:41.0000000 -03:00,1,-1.208.727,-4.577.070,12,Válido,0,13.782,0,761,Posicionamento por tempo em movimento,"5622,4",16.40
787,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 16:28:41.247,2025-04-23 16:28:38.0000000 -03:00,3,-1.208.952,-4.578.245,16,Válido,56,14.221,0,761,Posicionamento por tempo em movimento,"5623,8",17.80
791,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 16:31:38.873,2025-04-23 16:31:38.0000000 -03:00,0,-1.209.418,-4.577.257,18,Válido,25,12.977,0,761,Posicionamento por tempo em movimento,"5625,7",19.70
792,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 16:37:12.000,2025-04-23 16:33:11.0000000 -03:00,241,-1.209.747,-4.577.186,18,Válido,0,13.982,1,668,Ignição desligada,"5626,2",20.20
793,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 16:37:12.750,2025-04-23 16:33:12.0000000 -03:00,240,-1.209.747,-4.577.186,18,Válido,0,13.950,1,760,Modo Econômico,"5626,2",20.20
794,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 17:33:11.093,2025-04-23 17:33:08.0000000 -03:00,3,-1.209.747,-4.577.186,13,Válido,0,12.938,0,760,Modo Econômico,"5626,2",20.20
795,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 18:33:11.317,2025-04-23 18:33:08.0000000 -03:00,3,-1.209.747,-4.577.186,15,Válido,0,12.922,0,760,Modo Econômico,"5626,2",20.20
796,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 19:33:10.817,2025-04-23 19:33:08.0000000 -03:00,2,-1.209.747,-4.577.186,17,Válido,0,12.906,0,760,Modo Econômico,"5626,2",20.20
797,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 20:33:09.057,2025-04-23 20:33:08.0000000 -03:00,1,-1.209.747,-4.577.186,15,Válido,0,12.898,0,760,Modo Econômico,"5626,2",20.20
798,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 21:33:10.947,2025-04-23 21:33:08.0000000 -03:00,2,-1.209.747,-4.577.186,14,Válido,0,12.882,0,760,Modo Econômico,"5626,2",20.20
799,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 22:33:11.090,2025-04-23 22:33:08.0000000 -03:00,3,-1.209.747,-4.577.186,13,Válido,0,12.874,0,760,Modo Econômico,"5626,2",20.20
800,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-23 23:33:10.610,2025-04-23 23:33:08.0000000 -03:00,2,-1.209.747,-4.577.186,12,Válido,0,12.866,0,760,Modo Econômico,"5626,2",20.20
801,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-24 00:33:10.763,2025-04-24 00:33:08.0000000 -03:00,2,-1.209.747,-4.577.186,17,Válido,0,12.858,0,760,Modo Econômico,"5626,2",20.20
802,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-24 01:33:11.480,2025-04-24 01:33:08.0000000 -03:00,3,-1.209.747,-4.577.186,15,Válido,0,12.850,0,760,Modo Econômico,"5626,2",20.20
803,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-04-24 02:33:10.860,2025-04-24 02:33:08.0000000 -03:00,2,-1.209.747,-4.577.186,14,Válido,0,12.842,0,760,Modo Econômico,"5626,2",20.20
