mrveqpmsgid,veiPlaca,TCBICCID,veiid,eqpID,tcbserie,mrvDataHoraInc,mrvDataHoraExibicao,delay,Latitude,Longitude,N Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Evento Gerador,mrvOdometroTotal,mrvOdometro
2414,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 06:03:02.960,2025-05-07 06:03:02.0000000 -03:00,0,-1.209.749,-4.577.186,8,Válido,0,12.858,0,760,Modo Econômico,"6406,6",800.60
2415,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 07:03:04.260,2025-05-07 07:03:02.0000000 -03:00,2,-1.209.749,-4.577.186,12,Válido,0,12.858,0,760,Modo Econômico,"6406,6",800.60
2416,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 08:05:00.817,2025-05-07 08:03:02.0000000 -03:00,118,-1.209.749,-4.577.186,11,Válido,0,12.595,1,760,Modo Econômico,"6406,6",800.60
2417,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 08:06:03.910,2025-05-07 08:06:03.0000000 -03:00,0,-1.209.749,-4.577.186,11,Válido,0,12.308,0,667,Ignição ligada,"6406,6",800.60
2420,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 08:06:12.580,2025-05-07 08:06:12.0000000 -03:00,0,-1.209.723,-4.577.180,11,Válido,8,12.874,0,761,Posicionamento por tempo em movimento,"6406,6",800.60
2422,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 08:09:12.727,2025-05-07 08:09:12.0000000 -03:00,0,-1.208.873,-4.577.388,14,Válido,45,14.006,0,761,Posicionamento por tempo em movimento,6408,802.00
2425,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 08:12:12.720,2025-05-07 08:12:12.0000000 -03:00,0,-1.208.731,-4.577.024,15,Válido,26,13.990,0,761,Posicionamento por tempo em movimento,6410,804.00
2426,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 08:12:43.553,2025-05-07 08:12:43.0000000 -03:00,0,-1.208.670,-4.577.011,15,Válido,0,13.982,0,668,Ignição desligada,6410,804.00
2427,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 08:12:44.920,2025-05-07 08:12:43.0000000 -03:00,1,-1.208.670,-4.577.011,15,Válido,0,13.599,0,760,Modo Econômico,6410,804.00
2428,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:09:39.230,2025-05-07 09:09:37.0000000 -03:00,2,-1.208.670,-4.577.011,15,Válido,0,12.483,0,667,Ignição ligada,6410,804.00
2431,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:09:45.100,2025-05-07 09:09:44.0000000 -03:00,1,-1.208.681,-4.577.011,9,Válido,2,12.635,0,761,Posicionamento por tempo em movimento,6410,804.00
2433,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:12:42.520,2025-05-07 09:12:42.0000000 -03:00,0,-1.208.927,-4.578.311,17,Válido,68,14.093,0,761,Posicionamento por tempo em movimento,"6411,6",805.60
2436,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:15:47.267,2025-05-07 09:15:42.0000000 -03:00,5,-1.208.945,-4.579.747,17,Válido,0,13.679,0,761,Posicionamento por tempo em movimento,"6413,3",807.30
2438,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:18:42.783,2025-05-07 09:18:42.0000000 -03:00,0,-1.208.877,-4.579.631,17,Válido,29,14.316,0,761,Posicionamento por tempo em movimento,6414,808.00
2439,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:19:27.847,2025-05-07 09:19:27.0000000 -03:00,0,-1.208.911,-4.579.519,18,Válido,0,13.663,0,668,Ignição desligada,"6414,1",808.10
2440,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:19:28.767,2025-05-07 09:19:27.0000000 -03:00,1,-1.208.911,-4.579.519,18,Válido,0,13.400,0,760,Modo Econômico,"6414,1",808.10
2441,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:35:23.713,2025-05-07 09:35:23.0000000 -03:00,0,-1.208.911,-4.579.519,18,Válido,0,12.675,0,667,Ignição ligada,"6414,1",808.10
2444,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:35:32.603,2025-05-07 09:35:32.0000000 -03:00,0,-1.208.916,-4.579.508,8,Válido,1,12.938,0,761,Posicionamento por tempo em movimento,"6414,1",808.10
2448,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:38:32.590,2025-05-07 09:38:32.0000000 -03:00,0,-1.209.021,-4.579.259,15,Válido,0,13.743,0,761,Posicionamento por tempo em movimento,"6414,5",808.50
2451,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:41:32.930,2025-05-07 09:41:32.0000000 -03:00,0,-1.209.546,-4.580.685,17,Válido,52,12.866,0,761,Posicionamento por tempo em movimento,"6416,4",810.40
2453,TDD0A35,89551805000578940317,212794,379526,861106051326968,2025-05-07 09:44:33.450,2025-05-07 09:44:32.0000000 -03:00,1,-1.210.465,-4.580.761,16,Válido,0,14.077,0,761,Posicionamento por tempo em movimento,"6417,6",811.60
