mrveqpmsgid,veiPlaca,TCBICCID,veiid,eqpID,tcbserie,mrvDataHoraInc,mrvDataHoraExibicao,delay,Latitude,Longitude,N Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Evento Gerador,mrvOdometroTotal,mrvOdometro
25089,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-05-03 00:29:46.370,2025-05-03 00:29:46.0000000 -03:00,0,-2.326.976,-5.116.769,13,Válido,0,13.027,0,760,Modo Econômico,80177.5,8458.5
25090,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-05-03 01:30:26.333,2025-05-03 01:29:46.0000000 -03:00,40,-2.326.976,-5.116.769,11,Válido,0,13.027,0,760,Modo Econômico,80177.5,8458.5
25091,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-05-03 02:29:46.440,2025-05-03 02:29:46.0000000 -03:00,0,-2.326.976,-5.116.769,7,Válido,0,13.011,0,760,Modo Econômico,80177.5,8458.5
25092,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-05-03 03:29:46.447,2025-05-03 03:29:46.0000000 -03:00,0,-2.326.976,-5.116.769,8,Válido,0,12.987,0,760,Modo Econômico,80177.5,8458.5
25093,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-05-03 04:29:46.450,2025-05-03 04:29:46.0000000 -03:00,0,-2.326.976,-5.116.769,12,Válido,0,12.987,0,760,Modo Econômico,80177.5,8458.5
25094,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-05-03 05:29:46.437,2025-05-03 05:29:46.0000000 -03:00,0,-2.326.976,-5.116.769,6,Válido,0,12.979,0,760,Modo Econômico,80177.5,8458.5
25095,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-05-03 06:29:46.440,2025-05-03 06:29:46.0000000 -03:00,0,-2.326.976,-5.116.769,8,Válido,0,12.955,0,760,Modo Econômico,80177.5,8458.5
25096,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-05-03 07:29:46.443,2025-05-03 07:29:46.0000000 -03:00,0,-2.326.976,-5.116.769,7,Válido,0,12.947,0,760,Modo Econômico,80177.5,8458.5
25097,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-05-03 08:29:46.427,2025-05-03 08:29:46.0000000 -03:00,0,-2.326.976,-5.116.769,7,Válido,0,12.955,0,760,Modo Econômico,80177.5,8458.5
25098,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-05-03 09:29:46.450,2025-05-03 09:29:46.0000000 -03:00,0,-2.326.976,-5.116.769,8,Válido,0,12.923,0,760,Modo Econômico,80177.5,8458.5
