Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status
2025-05-13 01:34:04,2025-05-13 01:34:03,2025-05-13 01:31:37,867488061407846.0,5233.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12766.0,0.0,-,0.0,0.0,11.0,12.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,
2025-05-13 02:34:04,2025-05-13 02:34:03,2025-05-13 02:31:37,867488061407846.0,5264.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12665.0,0.0,-,0.0,0.0,11.0,10.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,
2025-05-13 03:34:04,2025-05-13 03:34:03,2025-05-13 03:31:37,867488061407846.0,5295.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12743.0,0.0,-,0.0,0.0,11.0,11.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,
2025-05-13 04:34:04,2025-05-13 04:34:03,2025-05-13 04:31:40,867488061407846.0,5326.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12638.0,0.0,-,0.0,0.0,11.0,8.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,
2025-05-13 05:34:04,2025-05-13 05:34:03,2025-05-13 05:31:43,867488061407846.0,5357.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12715.0,0.0,-,0.0,0.0,11.0,11.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,
2025-05-13 06:34:04,2025-05-13 06:34:03,2025-05-13 06:32:06,867488061407846.0,5388.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12691.0,0.0,-,0.0,0.0,11.0,12.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,
2025-05-13 07:34:04,2025-05-13 07:34:03,2025-05-13 07:31:36,867488061407846.0,5419.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12724.0,0.0,-,0.0,0.0,11.0,10.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,
2025-05-13 08:15:01,2025-05-13 08:15:01,2025-05-13 07:31:36,867488061407846.0,5440.0,GTIGN,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,12422.0,0.0,0,1.0,0.0,22.0,10.0,56454,0.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,0.0,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,
2025-05-13 08:15:09,2025-05-13 08:15:08,2025-05-13 08:15:09,867488061407846.0,5442.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12573.0,0.0,-,1.0,0.0,22.0,11.0,-,1.0,4.0,156.0,713.0,-12.097338,-45.771849,724.0,2.0,937b,077ad212,0.0,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,
2025-05-13 08:15:14,2025-05-13 08:15:11,2025-05-13 08:15:12,867488061407846.0,5444.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12573.0,0.0,-,1.0,0.0,22.0,10.0,-,1.0,3.6,218.0,720.0,-12.097365,-45.771888,724.0,2.0,937b,077ad212,0.0,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,11,
