mrveqpmsgid,veiPlaca,TCBICCID,veiid,eqpID,tcbserie,mrvDataHoraInc,mrvDataHoraExibicao,delay,Latitude,Longitude,N Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Evento Gerador,mrvOdometroTotal,mrvOdometro
23435,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:24:22.123,2025-04-25 17:24:22.0000000 -03:00,0,-2.332.917,-5.117.764,9,Válido,22,14.044,0,761,Posicionamento por tempo em movimento,"79855,1",8136.10
23434,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:23:15.997,2025-04-25 17:25:28.0000000 -03:00,-133,-2.332.917,-5.117.764,4,Válido,22,12.523,0,667,Ignição ligada,"79855,1",8136.10
23436,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:27:22.297,2025-04-25 17:27:22.0000000 -03:00,0,-2.332.669,-5.117.721,16,Válido,0,14.116,0,761,Posicionamento por tempo em movimento,"79855,8",8136.80
23437,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:30:22.320,2025-04-25 17:30:22.0000000 -03:00,0,-2.332.001,-5.117.655,16,Válido,13,14.260,0,761,Posicionamento por tempo em movimento,"79856,6",8137.60
23438,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:33:07.580,2025-04-25 17:33:07.0000000 -03:00,0,-2.331.248,-5.117.759,18,Válido,52,14.140,0,737,Velocidade máxima excedida,"79857,4",8138.40
23439,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:33:16.037,2025-04-25 17:33:16.0000000 -03:00,0,-2.331.123,-5.117.776,17,Válido,41,14.068,0,871,Retorno à velocidade normal,"79857,6",8138.60
23440,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:33:22.120,2025-04-25 17:33:22.0000000 -03:00,0,-2.331.105,-5.117.779,17,Válido,34,14.028,0,761,Posicionamento por tempo em movimento,"79857,6",8138.60
23441,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:36:22.273,2025-04-25 17:36:22.0000000 -03:00,0,-2.330.222,-5.117.899,18,Válido,29,13.884,0,761,Posicionamento por tempo em movimento,"79858,6",8139.60
23442,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:37:40.847,2025-04-25 17:37:40.0000000 -03:00,0,-2.330.046,-5.117.468,19,Válido,50,13.908,0,737,Velocidade máxima excedida,"79859,2",8140.20
23443,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:37:42.777,2025-04-25 17:37:42.0000000 -03:00,0,-2.330.043,-5.117.441,19,Válido,48,13.908,0,871,Retorno à velocidade normal,"79859,2",8140.20
23444,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:39:22.063,2025-04-25 17:39:22.0000000 -03:00,0,-2.329.848,-5.117.336,19,Válido,0,13.788,0,761,Posicionamento por tempo em movimento,"79859,6",8140.60
23445,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:42:06.120,2025-04-25 17:42:06.0000000 -03:00,0,-2.328.509,-5.117.190,19,Válido,56,13.804,0,737,Velocidade máxima excedida,"79861,2",8142.20
23446,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:42:22.133,2025-04-25 17:42:22.0000000 -03:00,0,-2.328.477,-5.116.978,17,Válido,70,13.756,0,761,Posicionamento por tempo em movimento,"79861,5",8142.50
23447,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:42:34.050,2025-04-25 17:42:34.0000000 -03:00,0,-2.328.434,-5.116.713,18,Válido,37,13.668,0,871,Retorno à velocidade normal,"79861,7",8142.70
23448,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:42:52.110,2025-04-25 17:42:52.0000000 -03:00,0,-2.328.404,-5.116.549,18,Válido,53,13.780,0,737,Velocidade máxima excedida,"79861,8",8142.80
23449,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:43:05.160,2025-04-25 17:43:05.0000000 -03:00,0,-2.328.378,-5.116.363,18,Válido,45,13.748,0,871,Retorno à velocidade normal,79862,8143.00
23450,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:43:25.100,2025-04-25 17:43:24.0000000 -03:00,1,-2.328.346,-5.116.176,18,Válido,51,13.788,0,737,Velocidade máxima excedida,"79862,2",8143.20
23451,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:43:35.953,2025-04-25 17:43:35.0000000 -03:00,0,-2.328.323,-5.116.023,18,Válido,45,13.796,0,871,Retorno à velocidade normal,"79862,4",8143.40
23452,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:44:07.810,2025-04-25 17:44:08.0000000 -03:00,-1,-2.328.278,-5.115.696,19,Válido,50,13.788,0,737,Velocidade máxima excedida,"79862,7",8143.70
23453,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:44:09.787,2025-04-25 17:44:10.0000000 -03:00,-1,-2.328.275,-5.115.670,20,Válido,48,13.788,0,871,Retorno à velocidade normal,"79862,8",8143.80
23454,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:45:22.117,2025-04-25 17:45:22.0000000 -03:00,0,-2.328.123,-5.115.129,19,Válido,47,13.756,0,761,Posicionamento por tempo em movimento,"79863,4",8144.40
23455,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:47:50.360,2025-04-25 17:47:50.0000000 -03:00,0,-2.327.931,-5.114.929,21,Válido,50,13.780,0,737,Velocidade máxima excedida,"79863,8",8144.80
23456,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:47:51.957,2025-04-25 17:47:52.0000000 -03:00,-1,-2.327.906,-5.114.929,21,Válido,48,13.780,0,871,Retorno à velocidade normal,"79863,8",8144.80
23457,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:47:54.997,2025-04-25 17:47:55.0000000 -03:00,-1,-2.327.869,-5.114.929,21,Válido,51,13.740,0,737,Velocidade máxima excedida,"79863,8",8144.80
23458,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:48:09.050,2025-04-25 17:48:09.0000000 -03:00,0,-2.327.681,-5.114.928,21,Válido,46,13.724,0,871,Retorno à velocidade normal,"79864,1",8145.10
23459,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:48:22.120,2025-04-25 17:48:22.0000000 -03:00,0,-2.327.596,-5.114.928,20,Válido,26,13.676,0,761,Posicionamento por tempo em movimento,"79864,2",8145.20
23460,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:48:53.130,2025-04-25 17:48:53.0000000 -03:00,0,-2.327.449,-5.114.926,20,Válido,53,13.788,0,737,Velocidade máxima excedida,"79864,3",8145.30
23461,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:49:17.730,2025-04-25 17:49:17.0000000 -03:00,0,-2.327.108,-5.114.911,19,Válido,48,13.796,0,871,Retorno à velocidade normal,"79864,7",8145.70
23462,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:49:38.760,2025-04-25 17:49:38.0000000 -03:00,0,-2.326.912,-5.114.778,20,Válido,52,13.772,0,737,Velocidade máxima excedida,79865,8146.00
23463,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:49:45.867,2025-04-25 17:49:46.0000000 -03:00,-1,-2.326.875,-5.114.694,19,Válido,40,13.780,0,871,Retorno à velocidade normal,"79865,1",8146.10
23464,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:51:22.120,2025-04-25 17:51:22.0000000 -03:00,0,-2.326.733,-5.114.109,19,Válido,32,13.603,0,761,Posicionamento por tempo em movimento,"79865,9",8146.90
23465,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:53:13.150,2025-04-25 17:53:13.0000000 -03:00,0,-2.326.552,-5.113.784,20,Válido,0,13.627,0,668,Ignição desligada,"79866,4",8147.40
23466,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:53:13.873,2025-04-25 17:53:14.0000000 -03:00,-1,-2.326.552,-5.113.784,20,Válido,0,13.579,0,760,Modo Econômico,"79866,4",8147.40
23467,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:54:37.323,2025-04-25 17:54:37.0000000 -03:00,0,-2.326.552,-5.113.784,20,Válido,0,13.051,0,667,Ignição ligada,"79866,4",8147.40
23468,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:54:39.160,2025-04-25 17:54:39.0000000 -03:00,0,-2.326.552,-5.113.784,0,Inválido,0,12.779,0,668,Ignição desligada,"79866,4",8147.40
23469,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:54:41.170,2025-04-25 17:54:41.0000000 -03:00,0,-2.326.552,-5.113.784,20,Válido,0,11.442,0,667,Ignição ligada,"79866,4",8147.40
23470,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:54:46.193,2025-04-25 17:54:46.0000000 -03:00,0,-2.326.549,-5.113.784,15,Válido,3,13.732,0,761,Posicionamento por tempo em movimento,"79866,4",8147.40
23471,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:57:42.610,2025-04-25 17:57:42.0000000 -03:00,0,-2.326.732,-5.114.671,17,Válido,15,13.467,0,761,Posicionamento por tempo em movimento,"79867,5",8148.50
23472,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:58:40.070,2025-04-25 17:58:40.0000000 -03:00,0,-2.326.930,-5.115.039,16,Válido,51,13.579,0,737,Velocidade máxima excedida,79868,8149.00
23473,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:58:50.840,2025-04-25 17:58:51.0000000 -03:00,-1,-2.326.869,-5.115.179,16,Válido,48,13.579,0,871,Retorno à velocidade normal,"79868,2",8149.20
23474,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 17:59:10.237,2025-04-25 17:59:10.0000000 -03:00,0,-2.326.687,-5.115.327,18,Válido,50,13.587,0,737,Velocidade máxima excedida,"79868,4",8149.40
23475,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 18:00:06.130,2025-04-25 18:00:06.0000000 -03:00,0,-2.325.989,-5.115.719,18,Válido,49,13.579,0,871,Retorno à velocidade normal,"79869,3",8150.30
23476,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 18:00:42.607,2025-04-25 18:00:42.0000000 -03:00,0,-2.325.843,-5.115.752,18,Válido,22,13.547,0,761,Posicionamento por tempo em movimento,"79869,5",8150.50
23477,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 18:01:03.433,2025-04-25 18:01:03.0000000 -03:00,0,-2.326.020,-5.115.731,19,Válido,54,13.531,0,737,Velocidade máxima excedida,"79869,7",8150.70
23478,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 18:01:14.763,2025-04-25 18:01:15.0000000 -03:00,-1,-2.326.182,-5.115.696,18,Válido,48,13.491,0,871,Retorno à velocidade normal,"79869,9",8150.90
23479,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 18:01:41.563,2025-04-25 18:01:41.0000000 -03:00,0,-2.326.259,-5.115.914,19,Válido,50,13.539,0,737,Velocidade máxima excedida,"79870,2",8151.20
23480,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 18:01:56.907,2025-04-25 18:01:57.0000000 -03:00,-1,-2.326.266,-5.116.137,19,Válido,46,13.499,0,871,Retorno à velocidade normal,"79870,4",8151.40
23481,BAA1364,89554000000352089833,208363,346911,862689070266025,2025-04-25 18:02:18.910,2025-04-25 18:02:19.0000000 -03:00,-1,-2.326.264,-5.116.349,19,Válido,51,13.539,0,737,Velocidade máxima excedida,"79870,6",8151.60
