Sequência,veiPlaca,veiid,GNSS UTC Time,mrvDataHoraInc,Data/Hora Evento,Azimuth,Latitude,Longitude,Velocidade,Bateria (V),Tipo Mensagem,Message_Category,Match_Type,Match_ID,Tempo de fix,Match_Complete
2144,TDD0A35,212794,2025-05-06 00:01:50,2025-05-06 00:04:14.647,2025-05-06 00:04:12,345.00000,-12.09748,-45.77186,0,12794,GTERI,T,NA,0,142.0,NA_0
2145,TDD0A35,212794,2025-05-06 01:01:50,2025-05-06 01:04:15.713,2025-05-06 01:04:12,345.00000,-12.09748,-45.77186,0,12786,GTERI,T,T5,1,142.0,T5_1
2146,TDD0A35,212794,2025-05-06 02:01:50,2025-05-06 02:04:15.130,2025-05-06 02:04:12,345.00000,-12.09748,-45.77186,0,12555,GTERI,T,T5,2,142.0,T5_2
2147,TDD0A35,212794,2025-05-06 03:01:50,2025-05-06 03:04:15.320,2025-05-06 03:04:12,345.00000,-12.09748,-45.77186,0,12746,GTERI,T,T1,1,142.0,T1_1
2148,TDD0A35,212794,2025-05-06 04:01:50,2025-05-06 04:04:15.260,2025-05-06 04:04:12,345.00000,-12.09748,-45.77186,0,12746,GTERI,T,NA,0,142.0,NA_0
2149,TDD0A35,212794,2025-05-06 05:01:50,2025-05-06 05:04:15.840,2025-05-06 05:04:12,345.00000,-12.09748,-45.77186,0,12738,GTERI,T,T5,3,142.0,T5_3
2151,TDD0A35,212794,2025-05-06 06:01:51,2025-05-06 06:04:12.923,2025-05-06 06:04:12,345.00000,-12.09748,-45.77186,0,12730,GTERI,T,NA,0,141.0,NA_0
2152,TDD0A35,212794,2025-05-06 08:01:44,2025-05-06 08:04:08.220,2025-05-06 08:04:05,161.00000,-12.09751,-45.77164,0,12722,GTERI,T,T5,4,141.0,T5_4
2153,TDD0A35,212794,2025-05-06 08:01:44,2025-05-06 08:10:37.063,2025-05-06 08:10:36,161.00000,-12.09751,-45.77164,0,12388,GTIGN,X,NA,0,532.0,NA_0
2156,TDD0A35,212794,2025-05-06 08:10:44,2025-05-06 08:10:46.180,2025-05-06 08:10:45,354.00000,-12.09742,-45.77178,0,12842,GTERI,T,T1,2,1.0,T1_2
2158,TDD0A35,212794,2025-05-06 08:13:40,2025-05-06 08:13:46.130,2025-05-06 08:13:45,352.00000,-12.08958,-45.77489,33,14037,GTERI,T,T5,5,5.0,T5_5
2161,TDD0A35,212794,2025-05-06 08:16:40,2025-05-06 08:16:46.173,2025-05-06 08:16:45,81.00000,-12.08755,-45.77198,33,14037,GTERI,T,T5,6,5.0,T5_6
2162,TDD0A35,212794,2025-05-06 08:17:45,2025-05-06 08:17:47.097,2025-05-06 08:17:46,197.00000,-12.08698,-45.77022,0,14006,GTIGF,X,NA,0,1.0,NA_0
2163,TDD0A35,212794,2025-05-06 08:17:46,2025-05-06 08:17:47.830,2025-05-06 08:17:47,197.00000,-12.08698,-45.77022,0,14037,GTERI,T,T5,7,1.0,T5_7
2164,TDD0A35,212794,2025-05-06 08:17:46,2025-05-06 08:47:11.043,2025-05-06 08:47:10,197.00000,-12.08698,-45.77022,0,12507,GTIGN,X,NA,0,1764.0,NA_0
2167,TDD0A35,212794,2025-05-06 08:47:18,2025-05-06 08:47:20.143,2025-05-06 08:47:19,106.00000,-12.08704,-45.77023,2,13790,GTERI,T,T1,3,1.0,T1_3
2168,TDD0A35,212794,2025-05-06 08:48:09,2025-05-06 08:48:11.063,2025-05-06 08:48:10,347.00000,-12.08721,-45.77044,0,13966,GTIGF,X,NA,0,1.0,NA_0
2169,TDD0A35,212794,2025-05-06 08:48:10,2025-05-06 08:48:11.703,2025-05-06 08:48:10,347.00000,-12.08721,-45.77044,0,13958,GTERI,T,T5,8,0.0,T5_8
