Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,MS GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,MS Satellite Number,Duração da Ignição,Precisão GNSS,MS GNSS Accuracy,Velocidade,Max Speed,Azimuth,MS Azimuth,Altitude,MS Altitude,Latitude,MS Latitude,Longitude,MS Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,MS Mileage,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,Message_Category,Match_Type,Match_ID,delta,Delta,Tempo de fix,Match_Complete
2025-09-30 07:34:58,2025-09-30 07:34:59,2025-09-30 07:33:20,2025-09-30 07:33:20,867488068351542,745,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,25547,0000,-,00,00,11,8,8,-,01,01,0.0,0.0,82,82,1024,1024,-25.049271,-25.049271,-51.530558,-51.530558,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:00:00,13:41:14,-,-,0,-,,,,,04,3,00000000,00,10,,T,NA,0,,,99.0,NA_0
2025-09-30 07:36:41,2025-09-30 07:36:42,2025-09-30 07:33:20,2025-09-30 07:33:20,867488068351542,749,GTIGN,0x19fe7fbf,,802003,0x8303,0x0115,100,25476,0000,0000,01,00,22,8,8,52429,00,01,0.0,0.0,82,82,1024,1024,-25.049271,-25.049271,-51.530558,-51.530558,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:00:00,13:41:14,-,-,0,-,,,,,,,,,,,X,NA,0,,,202.0,NA_0
2025-09-30 07:36:42,2025-09-30 07:36:42,2025-09-30 07:33:20,2025-09-30 07:33:20,867488068351542,750,GTSTT,0x19fe7fbf,,802003,0x8303,0x0115,100,25476,0000,0000,01,00,22,8,8,-,00,00,0.0,0.0,82,82,1024,1024,-25.049271,-25.049271,-51.530558,-51.530558,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:00:00,13:41:14,-,-,0,-,,,,,,,,,,,X,NA,0,,,202.0,NA_0
2025-09-30 07:36:51,2025-09-30 07:36:52,2025-09-30 07:36:51,2025-09-30 07:36:51,867488068351542,751,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,29659,0000,-,01,00,22,8,8,-,01,01,0.0,0.0,82,82,1070,1070,-25.049432,-25.049432,-51.530729,-51.530729,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:00:09,13:41:23,-,-,0,-,,,,,04,3,00000000,00,10,,T,NA,0,,,1.0,NA_0
2025-09-30 07:36:51,2025-09-30 07:36:52,2025-09-30 07:36:51,2025-09-30 07:36:51,867488068351542,752,GTIGL,0x19fe7fbf,,802003,0x8303,0x0115,100,29659,0000,0000,01,00,22,8,8,-,01,01,0.0,0.0,82,82,1070,1070,-25.049432,-25.049432,-51.530729,-51.530729,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:00:09,13:41:23,-,-,0,-,,,,,,,,,00,,X,NA,0,,,1.0,NA_0
2025-09-30 07:39:49,2025-09-30 07:39:50,2025-09-30 07:39:48,2025-09-30 07:39:49,867488068351542,756,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,30333,0000,-,01,00,22,12,12,-,01,01,0.0,0.0,82,82,1070,1070,-25.049432,-25.049432,-51.530729,-51.530729,0724,0004,85da,0f6ad109,0.0,0.0,0.0,0:03:06,13:44:20,-,-,0,-,,,,,04,3,00000000,00,10,,T,T10,1,,6.0,2.0,T10_1
2025-09-30 07:42:49,2025-09-30 07:42:50,2025-09-30 07:42:48,2025-09-30 07:42:49,867488068351542,763,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,30396,0000,-,01,00,22,12,12,-,01,01,0.0,0.0,82,82,1070,1070,-25.049432,-25.049432,-51.530729,-51.530729,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:06:06,13:47:20,-,-,0,-,,,,,04,3,00000000,00,10,,T,T10,2,,6.0,2.0,T10_2
2025-09-30 07:45:49,2025-09-30 07:45:50,2025-09-30 07:45:47,2025-09-30 07:45:48,867488068351542,767,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,30328,0000,-,01,00,22,12,12,-,01,01,0.0,0.0,82,82,1070,1070,-25.049432,-25.049432,-51.530729,-51.530729,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:09:06,13:50:20,-,-,0,-,,,,,04,3,00000000,00,10,,T,T5,1,,5.0,3.0,T5_1
2025-09-30 07:48:49,2025-09-30 07:48:50,2025-09-30 07:48:48,2025-09-30 07:48:49,867488068351542,771,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,30352,0000,-,01,00,22,12,12,-,01,01,0.0,0.0,82,82,1070,1070,-25.049432,-25.049432,-51.530729,-51.530729,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:12:06,13:53:20,-,-,0,-,,,,,04,3,00000000,00,10,,T,T10,3,,6.0,2.0,T10_3
2025-09-30 07:51:49,2025-09-30 07:51:50,2025-09-30 07:51:47,2025-09-30 07:51:48,867488068351542,775,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,30266,0000,-,01,00,22,12,12,-,01,01,0.0,0.0,82,82,1070,1070,-25.049432,-25.049432,-51.530729,-51.530729,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:15:06,13:56:20,-,-,0,-,,,,,04,3,00000000,00,10,,T,T5,2,,5.0,3.0,T5_2
2025-09-30 07:54:49,2025-09-30 07:54:50,2025-09-30 07:54:48,2025-09-30 07:54:49,867488068351542,779,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,30113,0000,-,01,00,22,12,12,-,01,01,0.0,0.0,82,82,1070,1070,-25.049432,-25.049432,-51.530729,-51.530729,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:18:06,13:59:20,-,-,0,-,,,,,04,3,00000000,00,10,,T,T10,4,,6.0,2.0,T10_4
2025-09-30 07:57:49,2025-09-30 07:57:50,2025-09-30 07:57:48,2025-09-30 07:57:31,867488068351542,783,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,30227,0000,-,01,00,22,12,12,-,01,01,0.0,8.6,82,263,1079,1076,-25.04932,-25.049262,-51.531248,-51.530989,0724,0004,85da,0f6ad116,0.0,0.0,0.0,0:21:06,14:02:20,-,-,0,-,,,,,04,1,00000000,00,10,,T,T10,5,,6.0,2.0,T10_5
2025-09-30 08:00:49,2025-09-30 08:00:50,2025-09-30 08:00:47,2025-09-30 08:00:48,867488068351542,787,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,30270,0000,-,01,00,22,12,12,-,01,01,0.0,0.0,82,82,1079,1079,-25.04932,-25.04932,-51.531248,-51.531248,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:24:06,14:05:20,-,-,0,-,,,,,04,3,00000000,00,10,,T,T5,3,,5.0,3.0,T5_3
2025-09-30 08:03:49,2025-09-30 08:03:50,2025-09-30 08:03:48,2025-09-30 08:03:05,867488068351542,791,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,29826,0000,-,01,00,22,12,12,-,01,01,8.8,44.4,265,263,1055,1066,-25.048484,-25.048245,-51.536,-51.533059,0724,0004,85da,0f6ad10a,0.6,0.6,0.3,0:27:06,14:08:20,-,-,0,-,,,,,04,3,00000000,00,10,,T,T10,6,,6.0,2.0,T10_6
2025-09-30 08:06:38,2025-09-30 08:06:39,2025-09-30 08:06:37,2025-09-30 08:06:37,867488068351542,795,GTSTT,0x19fe7fbf,,802003,0x8303,0x0115,100,30003,0000,0000,00,00,12,12,12,-,01,01,0.0,0.0,265,265,1049,1049,-25.050608,-25.050608,-51.542041,-51.542041,0724,0004,85da,0f6ad10a,1.4,1.4,1.4,0:29:54,14:11:08,-,-,0,-,,,,,,,,,,,X,NA,0,,,2.0,NA_0
2025-09-30 08:06:38,2025-09-30 08:06:39,2025-09-30 08:06:37,2025-09-30 08:06:37,867488068351542,794,GTIGF,0x19fe7fbf,,802003,0x8303,0x0115,100,30003,0000,0000,00,00,12,12,12,1797,01,01,0.0,0.0,265,265,1049,1049,-25.050608,-25.050608,-51.542041,-51.542041,0724,0004,85da,0f6ad10a,1.4,1.4,1.4,0:29:54,14:11:08,-,-,0,-,,,,,,,,,,,X,NA,0,,,2.0,NA_0
2025-09-30 08:06:39,2025-09-30 08:06:40,2025-09-30 08:06:39,2025-09-30 08:06:39,867488068351542,796,GTIGL,0x19fe7fbf,,802003,0x8303,0x0115,100,29331,0000,0000,00,00,12,12,12,-,01,01,0.0,0.0,176,176,1049,1049,-25.050608,-25.050608,-51.542041,-51.542041,0724,0004,85da,0f6ad10a,1.4,1.4,1.4,0:29:54,14:11:08,-,-,0,-,,,,,,,,,01,,X,NA,0,,,1.0,NA_0
2025-09-30 08:06:49,2025-09-30 08:06:50,2025-09-30 08:06:47,2025-09-30 08:06:47,867488068351542,800,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,27726,0000,-,00,00,12,12,12,-,01,01,0.0,0.0,176,176,1049,1049,-25.050608,-25.050608,-51.542041,-51.542041,0724,0004,85da,0f6ad10a,1.4,1.4,1.4,0:29:54,14:11:08,-,-,0,-,,,,,04,3,00000000,00,10,,T,NA,0,,,3.0,NA_0
