Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,Tipo Dispositivo,IMEI,Sequência,Tipo Mensagem,Bateria Interna,ERI Mask,Protocol Version,Alimentação Externa,Input Status,Output Status,Motion Status,Duration Ign On,Duration Ign Off,Satélites,Precisão GNSS,MCC,MNC,LAC,Cell ID,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Horímetro Total,CSQ RSSI,CSQ BER,RAT,BAND,ICCID,Ext. Pwr Supply,Charging,LED On,Timezone,Daylight Saving,Wave1 Output ID,Wave1 Output Active,BT Report Mask,BT Name,BT MAC Address,Peer Role,Peer Address Type,Driver ID,Login Status,MS GNSS Accuracy,Max Speed,MS Azimuth,MS Altitude,MS Longitude,MS Latitude,MS GNSS UTC Time,MS Satellite Number,MS Mileage,Position Report Type,Prefixo
2025-10-22 07:00:55,2025-10-22 07:00:54,2025-10-22 06:58:33,385349,862689070112179,9469,GTERI,4.20,00008200,698407,12957,80,00,11,,,12,1,0724,0011,C406,06690417,0.0,58,92.2,-9.540108,-35.725910,1673.7,,23,0,2,3,,,,,,,,,,,,,,,,1,0.0,58,92.2,-35.725910,-9.540108,2025-10-22 06:58:33,12,1673.7,10,+RESP:
2025-10-22 06:21:00,2025-10-22 06:21:00,2025-10-22 05:58:33,385349,862689070112179,9468,GTINF,4.20,,698407,12957,80,00,11,,,,,,,,,,,,,,,,22,0,,,89554000000354059370,1,0,1,+0000,0,,,,,,,,,,,,,,,,,,,,
2025-10-22 06:01:11,2025-10-22 06:00:54,2025-10-22 05:58:33,385349,862689070112179,9467,GTERI,4.20,00008200,698407,12957,80,00,11,,,13,1,0724,0011,C406,06690417,0.0,58,92.2,-9.540108,-35.725910,1673.7,,23,0,2,3,,,,,,,,,,,,,,,,1,0.0,58,92.2,-35.725910,-9.540108,2025-10-22 05:58:33,13,1673.7,10,+RESP:
2025-10-22 06:01:11,2025-10-22 06:00:54,2025-10-22 05:58:33,385349,862689070112179,9467,GTERI,4.20,00008200,698407,12957,80,00,11,,,13,1,0724,0011,C406,06690417,0.0,58,92.2,-9.540108,-35.725910,1673.7,,23,0,2,3,,,,,,,,,,,,,,,,1,0.0,58,92.2,-35.725910,-9.540108,2025-10-22 05:58:33,13,1673.7,10,+RESP:
2025-10-22 05:00:54,2025-10-22 05:00:54,2025-10-22 04:58:33,385349,862689070112179,9466,GTERI,4.20,00008200,698407,12957,80,00,11,,,11,1,0724,0011,C406,06690417,0.0,58,92.2,-9.540108,-35.725910,1673.7,,22,0,2,3,,,,,,,,,,,,,,,,1,0.0,58,92.2,-35.725910,-9.540108,2025-10-22 04:58:33,11,1673.7,10,+RESP:
2025-10-22 04:00:55,2025-10-22 04:00:54,2025-10-22 03:58:33,385349,862689070112179,9465,GTERI,4.20,00008200,698407,12973,80,00,11,,,12,1,0724,0011,C406,06690417,0.0,58,92.2,-9.540108,-35.725910,1673.7,,22,0,2,3,,,,,,,,,,,,,,,,1,0.0,58,92.2,-35.725910,-9.540108,2025-10-22 03:58:33,12,1673.7,10,+RESP:
2025-10-22 03:00:54,2025-10-22 03:00:54,2025-10-22 02:58:33,385349,862689070112179,9464,GTERI,4.20,00008200,698407,12981,80,00,11,,,9,1,0724,0011,C406,06690417,0.0,58,92.2,-9.540108,-35.725910,1673.7,,22,0,2,3,,,,,,,,,,,,,,,,1,0.0,58,92.2,-35.725910,-9.540108,2025-10-22 02:58:33,9,1673.7,10,+RESP:
2025-10-22 02:00:54,2025-10-22 02:00:54,2025-10-22 01:58:33,385349,862689070112179,9463,GTERI,4.20,00008200,698407,12989,80,00,11,,,12,1,0724,0011,C406,06690417,0.0,58,92.2,-9.540108,-35.725910,1673.7,,22,0,2,3,,,,,,,,,,,,,,,,1,0.0,58,92.2,-35.725910,-9.540108,2025-10-22 01:58:33,12,1673.7,10,+RESP:
2025-10-22 01:00:54,2025-10-22 01:00:54,2025-10-22 00:58:33,385349,862689070112179,9462,GTERI,4.20,00008200,698407,12997,80,00,11,,,11,1,0724,0011,C406,06690417,0.0,58,92.2,-9.540108,-35.725910,1673.7,,22,0,2,3,,,,,,,,,,,,,,,,1,0.0,58,92.2,-35.725910,-9.540108,2025-10-22 00:58:33,11,1673.7,10,+RESP:
2025-10-22 00:00:54,2025-10-22 00:00:54,2025-10-21 23:58:33,385349,862689070112179,9461,GTERI,4.19,00008200,698407,13013,80,00,11,,,12,1,0724,0011,C406,06690417,0.0,58,92.2,-9.540108,-35.725910,1673.7,,22,0,2,3,,,,,,,,,,,,,,,,1,0.0,58,92.2,-35.725910,-9.540108,2025-10-21 23:58:33,12,1673.7,10,+RESP:
