Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,Tipo Dispositivo,IMEI,Sequência,Tipo Mensagem,Bateria Interna,ERI Mask,Protocol Version,Alimentação Externa,Input Status,Output Status,Motion Status,Duration Ign On,Duration Ign Off,Satélites,Precisão GNSS,MCC,MNC,LAC,Cell ID,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Horímetro Total,CSQ RSSI,CSQ BER,RAT,BAND,ICCID,Ext. Pwr Supply,Charging,LED On,Timezone,Daylight Saving,Wave1 Output ID,Wave1 Output Active,BT Report Mask,BT Name,BT MAC Address,Peer Role,Peer Address Type,Driver ID,Login Status,MS GNSS Accuracy,Max Speed,MS Azimuth,MS Altitude,MS Longitude,MS Latitude,MS GNSS UTC Time,MS Satellite Number,MS Mileage,Position Report Type,Prefixo,,,,,,,,,,,,
2025-10-22 07:18:44,2025-10-22 07:18:44,2025-10-22 07:18:44,385349,862689070266025,12609,GTERI,3.98,00008200,69840A,14316,83,00,22,,,17,1,0724,0006,C4A7,07A72916,38.3,91,488.1,-23.270838,-51.149173,18767.8,,23,0,2,3,,,,,,,,,,,,,,,,1,38.6,105,486.6,-51.149277,-23.270845,2025-10-22 07:18:43,17,18767.8,11,+RESP:,,,,,,,,,,,,
2025-10-22 07:18:42,2025-10-22 07:18:42,2025-10-22 07:18:42,385349,862689070266025,12608,GTSPD,3.98,,69840A,14252,83,00,22,,,17,1,0724,0006,C4A7,07A72916,38.5,121,487.1,-23.270822,-51.149372,18767.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,,,,,,,,,,,,
2025-10-22 07:18:40,2025-10-22 07:18:40,2025-10-22 07:18:40,385349,862689070266025,12607,GTSPD,3.98,,69840A,14252,83,00,22,,,17,1,0724,0006,C4A7,07A72916,40.5,147,492.8,-23.270687,-51.149545,18767.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,,,,,,,,,,,,
2025-10-22 07:18:40,2025-10-22 07:18:40,2025-10-22 07:18:40,385349,862689070266025,12606,GTERI,3.98,00008200,69840A,14252,83,00,22,,,17,1,0724,0006,C4A7,07A72916,40.5,147,492.8,-23.270687,-51.149545,18767.7,,23,0,2,3,,,,,,,,,,,,,,,,1,40.5,147,492.8,-51.149545,-23.270687,2025-10-22 07:18:40,17,18767.8,11,+RESP:,,,,,,,,,,,,
2025-10-22 07:18:38,2025-10-22 07:18:38,2025-10-22 07:18:38,385349,862689070266025,12605,GTSPD,3.98,,69840A,14252,83,00,22,,,17,1,0724,0006,C4A7,07A72916,39.9,171,491.6,-23.270505,-51.149630,18767.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,,,,,,,,,,,,
2025-10-22 07:18:37,2025-10-22 07:18:37,2025-10-22 07:18:36,385349,862689070266025,12604,GTSPD,3.98,,69840A,14252,83,00,22,,,17,1,0724,0006,C4A7,07A72916,40.2,192,493.8,-23.270312,-51.149628,18767.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,,,,,,,,,,,,
2025-10-22 07:18:35,2025-10-22 07:18:35,2025-10-22 07:18:34,385349,862689070266025,12603,GTERI,3.98,00008200,69840A,14252,83,00,22,,,17,1,0724,0006,C4A7,07A72916,38.2,197,496.3,-23.270092,-51.149558,18767.7,,27,0,2,3,,,,,,,,,,,,,,,,1,38.2,197,496.3,-51.149558,-23.270092,2025-10-22 07:18:34,17,18767.7,11,+RESP:,,,,,,,,,,,,
2025-10-22 07:18:28,2025-10-22 07:18:28,2025-10-22 07:18:27,385349,862689070266025,12602,GTERI,3.98,00008200,69840A,14252,83,00,22,,,17,1,0724,0006,C4A7,07A72916,17.1,151,497.5,-23.269708,-51.149543,18767.6,,24,0,2,3,,,,,,,,,,,,,,,,1,35.3,107,500.5,-51.150250,-23.269388,2025-10-22 07:18:15,17,18767.6,11,+RESP:,,,,,,,,,,,,
2025-10-22 07:18:06,2025-10-22 07:18:07,2025-10-22 07:18:06,385349,862689070266025,12601,GTSPD,3.98,,69840A,14252,83,00,22,,,15,1,0724,0006,C4A7,07A72916,34.1,106,508.2,-23.269180,-51.150913,18767.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,,,,,,,,,,,,
2025-10-22 07:18:03,2025-10-22 07:18:04,2025-10-22 07:18:03,385349,862689070266025,12600,GTERI,3.98,00008200,69840A,14284,83,00,22,,,16,1,0724,0006,C4A7,07A72916,42.7,111,511.7,-23.269092,-51.151207,18767.4,,26,0,2,3,,,,,,,,,,,,,,,,1,55.8,154,542.2,-51.153428,-23.266825,2025-10-22 07:17:39,16,18767.1,11,+RESP:,,,,,,,,,,,,
2025-10-22 07:17:30,2025-10-22 07:17:31,2025-10-22 07:17:30,385349,862689070266025,12599,GTERI,3.98,00008200,69840A,14340,83,00,22,,,15,1,0724,0006,C4A7,07A72915,52.9,155,544.3,-23.265695,-51.153948,18767.0,,31,0,2,3,,,,,,,,,,,,,,,,1,52.9,155,544.3,-51.153948,-23.265695,2025-10-22 07:17:30,15,18767.0,11,+RESP:,,,,,,,,,,,,
2025-10-22 07:17:02,2025-10-22 07:17:03,2025-10-22 07:17:02,385349,862689070266025,12598,GTSPD,3.98,,69840A,14316,83,00,22,,,16,1,0724,0006,C4A7,07A72915,44.3,135,567.0,-23.263028,-51.156218,18766.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,,,,,,,,,,,,
2025-10-22 07:16:58,2025-10-22 07:16:59,2025-10-22 07:16:58,385349,862689070266025,12597,GTERI,3.98,00008200,69840A,14284,83,00,22,,,16,1,0724,0006,C4A7,07A5BC16,35.2,109,569.7,-23.262775,-51.156552,18766.5,,23,0,2,3,,,,,,,,,,,,,,,,1,35.2,109,569.7,-51.156552,-23.262775,2025-10-22 07:16:58,16,18766.6,11,+RESP:,,,,,,,,,,,,
2025-10-22 07:16:55,2025-10-22 07:16:56,2025-10-22 07:16:55,385349,862689070266025,12595,GTSPD,3.98,,69840A,14284,83,00,22,,,15,1,0724,0006,C4A7,07A5BC16,33.5,90,569.3,-23.262735,-51.156813,18766.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,,,,,,,,,,,,
