Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,MS GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,MS Satellite Number,Duração da Ignição,Precisão GNSS,MS GNSS Accuracy,Velocidade,Max Speed,Azimuth,MS Azimuth,Altitude,MS Altitude,Latitude,MS Latitude,Longitude,MS Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,MS Mileage,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,
2025-10-20 10:06:41,2025-10-20 10:06:41,2025-10-20 10:04:18,2025-10-20 10:04:18,867488067670306,2633,GTERI,0x19FE3FBF,0x00028102,802003,0x8303,0x0115,48,12415,0000,-,00,00,11,4,4,-,01,01,0.0,0.0,0,0,29,29,-29.995485,-29.995485,-51.13487,-51.13487,0724,0004,894E,051B2883,0.0,1.6,1.6,0:00:54,2:58:20,-,-,0,-,,,,,04,3,00000000,00,10,,
2025-10-20 09:06:41,2025-10-20 09:06:41,2025-10-20 09:04:36,2025-10-20 09:04:36,867488067670306,2632,GTERI,0x19FE3FBF,0x00028102,802003,0x8303,0x0115,48,12349,0000,-,00,00,11,5,5,-,01,01,0.0,0.0,0,0,29,29,-29.995485,-29.995485,-51.13487,-51.13487,0724,0004,894E,051A330D,0.0,1.6,1.6,0:00:54,2:58:20,-,-,0,-,,,,,04,28,00000000,00,10,,
2025-10-20 08:06:41,2025-10-20 08:06:41,2025-10-20 08:04:36,2025-10-20 08:04:36,867488067670306,2631,GTERI,0x19FE3FBF,0x00028102,802003,0x8303,0x0115,48,12398,0000,-,00,00,11,5,5,-,01,01,0.0,0.0,0,0,29,29,-29.995485,-29.995485,-51.13487,-51.13487,0724,0004,894E,051A330D,0.0,1.6,1.6,0:00:54,2:58:20,-,-,0,-,,,,,04,28,00000000,00,10,,
2025-10-20 07:06:41,2025-10-20 07:06:41,2025-10-20 07:04:35,2025-10-20 07:04:35,867488067670306,2630,GTERI,0x19FE3FBF,0x00028102,802003,0x8303,0x0115,48,12317,0000,-,00,00,11,4,4,-,01,01,0.0,0.0,0,0,29,29,-29.995485,-29.995485,-51.13487,-51.13487,0724,0004,894E,051A330D,0.0,1.6,1.6,0:00:54,2:58:20,-,-,0,-,,,,,04,28,00000000,00,10,,
2025-10-20 06:06:41,2025-10-20 06:06:41,2025-10-20 06:04:16,2025-10-20 06:04:16,867488067670306,2629,GTERI,0x19FE3FBF,0x00028102,802003,0x8303,0x0115,48,12339,0000,-,00,00,11,5,5,-,01,01,0.0,0.0,0,0,29,29,-29.995485,-29.995485,-51.13487,-51.13487,0724,0004,894E,051A330D,0.0,1.6,1.6,0:00:54,2:58:20,-,-,0,-,,,,,04,28,00000000,00,10,,
2025-10-20 05:06:41,2025-10-20 05:06:41,2025-10-20 05:04:16,2025-10-20 05:04:16,867488067670306,2628,GTERI,0x19FE3FBF,0x00028102,802003,0x8303,0x0115,48,12392,0000,-,00,00,11,5,5,-,01,01,0.0,0.0,0,0,29,29,-29.995485,-29.995485,-51.13487,-51.13487,0724,0004,894E,051A330D,0.0,1.6,1.6,0:00:54,2:58:20,-,-,0,-,,,,,04,28,00000000,00,10,,
2025-10-20 04:06:41,2025-10-20 04:06:41,2025-10-20 04:04:36,2025-10-20 04:04:36,867488067670306,2627,GTERI,0x19FE3FBF,0x00028102,802003,0x8303,0x0115,48,12400,0000,-,00,00,11,7,7,-,01,01,0.0,0.0,0,0,29,29,-29.995485,-29.995485,-51.13487,-51.13487,0724,0004,894E,051B280B,0.0,1.6,1.6,0:00:54,2:58:20,-,-,0,-,,,,,04,3,00000000,00,10,,
2025-10-20 03:06:41,2025-10-20 03:06:41,2025-10-20 03:04:16,2025-10-20 03:04:16,867488067670306,2626,GTERI,0x19FE3FBF,0x00028102,802003,0x8303,0x0115,48,12399,0000,-,00,00,11,4,4,-,01,01,0.0,0.0,0,0,29,29,-29.995485,-29.995485,-51.13487,-51.13487,0724,0004,894E,051B280B,0.0,1.6,1.6,0:00:54,2:58:20,-,-,0,-,,,,,04,3,00000000,00,10,,
2025-10-20 02:06:41,2025-10-20 02:06:41,2025-10-20 02:04:15,2025-10-20 02:04:15,867488067670306,2625,GTERI,0x19FE3FBF,0x00028102,802003,0x8303,0x0115,48,12401,0000,-,00,00,11,6,6,-,01,01,0.0,0.0,0,0,29,29,-29.995485,-29.995485,-51.13487,-51.13487,0724,0004,894E,051B280B,0.0,1.6,1.6,0:00:54,2:58:20,-,-,0,-,,,,,04,3,00000000,00,10,,
2025-10-20 01:06:41,2025-10-20 01:06:41,2025-10-20 01:04:36,2025-10-20 01:04:36,867488067670306,2624,GTERI,0x19FE3FBF,0x00028102,802003,0x8303,0x0115,48,12340,0000,-,00,00,11,8,8,-,01,01,0.0,0.0,0,0,29,29,-29.995485,-29.995485,-51.13487,-51.13487,0724,0004,894E,051B280B,0.0,1.6,1.6,0:00:54,2:58:20,-,-,0,-,,,,,04,3,00000000,00,10,,
