Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,MS GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,MS Satellite Number,Duração da Ignição,Precisão GNSS,MS GNSS Accuracy,Velocidade,Max Speed,Azimuth,MS Azimuth,Altitude,MS Altitude,Latitude,MS Latitude,Longitude,MS Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,MS Mileage,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,,,
2025-09-29 16:54:28,2025-09-29 16:54:28,2025-09-29 16:02:31,2025-09-29 12:39:06,867488067684034,416,GTIGN,0x19fe7fbf,,802003,0x8303,0x0115,46,25750,0000,0000,01,00,22,7,12,14081,00,01,0.0,50.3,76,274,1072,1073,-25.042738,-25.063441,-51.534174,-51.532883,0724,0004,85da,0f6ad116,0.0,0.0,37.0,0:00:00,2:25:29,-,-,0,-,,,,,,,,,,,,,
2025-09-29 16:54:28,2025-09-29 16:54:28,2025-09-29 16:02:31,2025-09-29 16:02:31,867488067684034,417,GTSTT,0x19fe7fbf,,802003,0x8303,0x0115,46,25750,0000,0000,01,00,22,7,7,-,00,00,0.0,0.0,76,76,1072,1072,-25.042738,-25.042738,-51.534174,-51.534174,0724,0004,85da,0f6ad116,0.0,0.0,0.0,0:00:00,2:25:29,-,-,0,-,,,,,,,,,,,,,
2025-09-29 16:54:39,2025-09-29 16:54:39,2025-09-29 16:54:39,2025-09-29 16:54:39,867488067684034,418,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,46,24281,0000,-,01,00,22,7,7,-,01,01,0.0,0.0,76,76,1054,1054,-25.042761,-25.042761,-51.534011,-51.534011,0724,0004,85da,0f6ad116,0.0,0.0,0.0,0:00:09,2:25:38,-,-,0,-,,,,,04,1,00000000,00,10,,,,
2025-09-29 16:54:39,2025-09-29 16:54:39,2025-09-29 16:54:39,2025-09-29 16:54:39,867488067684034,419,GTIGL,0x19fe7fbf,,802003,0x8303,0x0115,46,24281,0000,0000,01,00,22,7,7,-,01,01,0.0,0.0,76,76,1054,1054,-25.042761,-25.042761,-51.534011,-51.534011,0724,0004,85da,0f6ad116,0.0,0.0,0.0,0:00:09,2:25:38,-,-,0,-,,,,,,,,,00,,,,
2025-09-29 16:56:09,,,,867488067684034,420,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 16:57:34,2025-09-29 16:57:34,2025-09-29 16:57:32,2025-09-29 16:57:24,867488067684034,422,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,45,27848,0000,-,01,00,22,12,12,-,01,01,33.7,44.2,168,167,1049,1048,-25.045285,-25.044542,-51.536033,-51.536227,0724,0004,85da,0f6ad116,0.6,0.6,0.5,0:03:06,2:28:35,-,-,0,-,,,,,04,1,00000000,00,10,,,,
2025-09-29 16:58:10,,,,867488067684034,423,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 16:58:32,,,,867488067684034,425,ACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 16:58:32,,,,867488067684034,426,ACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 16:58:33,,,,867488067684034,427,ACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 17:00:10,,,,867488067684034,428,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
