Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Serviço,Tipo Mensagem,Tipo Dispositivo,Event Index,Event Code,Alimentação Externa,Digital Input Status,Ignição,Satélites,HDOP,Fix Status,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Accum0,Accum1,Accum2,Accum3,Accum4,Accum5,Accum6,Accum7,Accum8,Accum9,Accum10,Accum11,Accum12,Accum13,Accum14,Accum15,Carrier,RSSI,Comm State
2025-09-29 14:13:29,2025-09-29 14:13:24,2025-09-29 13:26:10,4675529076,1052,01,02,83,255,44,13315,0F,1,17,0.6,24,0,273,670.0,-28.2394873,-52.3989996,476.2,00074412,0001800F,00003403,1900034A,00000000,00000000,00000000,00000000,00000000,039D4E91,00000000,00000000,00000000,00000000,00000000,00000000,0006,FF99,8F
2025-09-29 14:13:29,2025-09-29 14:13:16,2025-09-29 13:26:10,4675529076,1051,01,02,83,112,21,12008,0F,1,17,0.6,24,0,273,670.0,-28.2394873,-52.3989996,476.2,00074412,0001800F,00002EE8,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000,0000,00
2025-09-29 14:13:29,2025-09-29 13:26:01,2025-09-29 13:26:01,4675529076,1050,01,02,83,75,27,12585,0E,0,17,0.6,20,0,273,670.0,-28.2394872,-52.3990001,476.2,00074412,0001800E,00003129,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FF9C,8F
2025-09-29 14:16:21,2025-09-29 14:16:20,2025-09-29 14:16:20,4675529076,1053,01,02,83,123,30,13011,2F,1,13,0.7,00,20,113,677.3,-28.2352984,-52.3937518,477.2,00074830,0001802F,000032D3,1900034A,00000000,00000000,00000000,00000000,00000000,039D4E91,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA7,8F
2025-09-29 14:19:21,2025-09-29 14:19:20,2025-09-29 14:19:20,4675529076,1054,01,02,83,123,30,13163,2F,1,13,0.8,00,23,47,700.3,-28.2310223,-52.381656,479.4,000750B5,0001802F,0000336B,1900034A,00000000,00000000,00000000,00000000,00000000,039D4E91,00000000,00000000,00000000,00000000,00000000,00000000,0006,FF96,8F
2025-09-29 14:22:01,2025-09-29 14:22:01,2025-09-29 14:22:01,4675529076,1055,01,02,83,255,45,12646,0E,0,13,0.7,00,0,327,683.0,-28.2315735,-52.3841349,480.4,000754B5,0001800E,00003166,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FF90,8F
2025-09-29 14:22:02,2025-09-29 14:22:01,2025-09-29 14:22:01,4675529076,1056,01,02,83,128,20,12646,0E,0,13,0.7,00,0,327,683.0,-28.2315736,-52.3841347,480.4,000754B5,0001800E,00003166,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FF90,8F
2025-09-29 14:33:17,2025-09-29 14:30:57,2025-09-29 14:27:11,4675529076,1059,01,02,83,255,44,12068,0F,1,17,0.6,24,0,327,684.5,-28.2315797,-52.3841178,480.4,000754B5,0001800F,00002F24,1900034A,00000000,00000000,00000000,00000000,00000000,039D4E91,00000000,00000000,00000000,00000000,00000000,00000000,0000,FFAC,86
2025-09-29 14:33:17,2025-09-29 14:30:52,2025-09-29 14:27:11,4675529076,1058,01,02,83,112,21,12008,0F,1,17,0.6,24,0,327,684.5,-28.2315797,-52.3841178,480.4,000754B5,0001800F,00002EE8,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000,0000,00
2025-09-29 14:33:17,2025-09-29 14:27:01,2025-09-29 14:27:01,4675529076,1057,01,02,83,75,27,12616,0E,0,15,0.7,20,0,327,684.4,-28.2315798,-52.3841181,480.4,000754B5,0001800E,00003148,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FF96,8F
