Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Serviço,Message Type,Tipo Dispositivo,Event Index,Event Code,Alimentação Externa,Digital Input Status,Ignição,Satélites,HDOP,Fix Status,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Accum0,Accum1,Accum2,Accum3,Accum4,Accum5,Accum6,Accum7,Accum8,Accum9,Accum10,Accum11,Accum12,Accum13,Accum14,Accum15,Carrier,RSSI,Comm State
2025-10-22 06:51:24,2025-10-22 06:49:44,2025-10-22 06:49:44,4675530620,3978,01,02,83,118,38,4056,2B,1,20,0.5,20,24,104,996.6,-25.0205355,-51.5326202,890.0,000D94B0,0001802B,00000FD8,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FF9E,00
2025-10-22 06:51:23,2025-10-22 06:49:02,2025-10-22 06:49:02,4675530620,3977,01,02,83,118,38,4056,2B,1,18,0.6,20,30,58,1017.8,-25.0218898,-51.5350231,889.7,000D9388,0001802B,00000FD8,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FF9E,00
2025-10-22 06:51:23,2025-10-22 06:47:36,2025-10-22 06:47:36,4675530620,3976,01,02,83,118,38,4058,2B,1,20,0.5,20,29,12,1049.2,-25.0263587,-51.5359202,889.2,000D9182,0001802B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FF9C,2F
2025-10-22 06:47:05,2025-10-22 06:47:05,2025-10-22 06:47:05,4675530620,3975,01,02,83,118,38,4058,2B,1,20,0.5,00,26,58,1046.6,-25.0277553,-51.5378411,889.0,000D9084,0001802B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FF9F,2F
2025-10-22 06:46:50,2025-10-22 06:46:50,2025-10-22 06:46:50,4675530620,3974,01,02,83,118,38,4058,2B,1,19,0.6,00,27,105,1043.5,-25.0276367,-51.5388907,888.9,000D9012,0001802B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFA2,2F
2025-10-22 06:44:27,2025-10-22 06:44:27,2025-10-22 06:44:27,4675530620,3973,01,02,83,118,38,4058,2B,1,19,0.6,00,12,58,1051.2,-25.030729,-51.5471638,887.9,000D8C38,0001802B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FF9F,2F
2025-10-22 06:44:08,2025-10-22 06:44:08,2025-10-22 06:44:08,4675530620,3972,01,02,83,123,30,4058,0B,1,20,0.5,00,50,349,1048.2,-25.0319592,-51.5474124,887.7,000D8BA8,0001800B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFA0,2F
2025-10-22 06:41:09,2025-10-22 06:41:08,2025-10-22 06:41:08,4675530620,3971,01,02,83,118,38,4058,2B,1,20,0.5,00,13,330,1047.4,-25.0507136,-51.5424491,885.6,000D8331,0001802B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFB6,2F
2025-10-22 06:40:02,2025-10-22 06:39:49,2025-10-22 06:36:14,4675530620,3970,01,02,83,112,21,4058,0B,1,16,0.6,24,0,272,1045.9,-25.0505808,-51.5421568,885.5,000D8303,0001800B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0000,0000,00
2025-10-22 06:36:05,2025-10-22 06:36:04,2025-10-22 06:36:04,4675530620,3969,01,02,83,75,27,4058,0A,0,18,0.6,00,0,272,1046.3,-25.0505807,-51.5421581,885.5,000D8303,0001800A,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFB6,2F
