Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,Tipo Dispositivo,IMEI,Sequência,Tipo Mensagem,Bateria Interna,ERI Mask,Protocol Version,Alimentação Externa,Input Status,Output Status,Motion Status,Duration Ign On,Duration Ign Off,Satélites,Precisão GNSS,MCC,MNC,LAC,Cell ID,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Horímetro Total,CSQ RSSI,CSQ BER,RAT,BAND,ICCID,Ext. Pwr Supply,Charging,LED On,Timezone,Daylight Saving,Wave1 Output ID,Wave1 Output Active,BT Report Mask,BT Name,BT MAC Address,Peer Role,Peer Address Type,Driver ID,Login Status,MS GNSS Accuracy,Max Speed,MS Azimuth,MS Altitude,MS Longitude,MS Latitude,MS GNSS UTC Time,MS Satellite Number,MS Mileage,Position Report Type,Prefixo
2025-10-20 10:31:14,2025-10-20 10:31:14,2025-10-20 10:28:52,385349,862689070136285,1385,GTERI,3.96,00008200,698407,12454,80,00,11,,,12,1,0724,0006,060F,0BA7,0.0,255,62.5,-29.995520,-51.134828,2.8,,14,0,1,850,,,,,,,,,,,,,,,,1,0.0,255,62.5,-51.134828,-29.995520,2025-10-20 10:28:52,12,2.8,10,+RESP:
2025-10-20 09:31:14,2025-10-20 09:31:14,2025-10-20 09:28:53,385349,862689070136285,1384,GTERI,3.98,00008200,698407,12454,80,00,11,,,12,1,0724,0006,060F,0BA7,0.0,255,62.5,-29.995520,-51.134828,2.8,,16,0,1,850,,,,,,,,,,,,,,,,1,0.0,255,62.5,-51.134828,-29.995520,2025-10-20 09:28:53,12,2.8,10,+RESP:
2025-10-20 08:31:17,2025-10-20 08:31:14,2025-10-20 08:28:52,385349,862689070136285,1383,GTERI,4.00,00008200,698407,12446,80,00,11,,,10,1,0724,0006,060F,0BA7,0.0,255,62.5,-29.995520,-51.134828,2.8,,15,0,1,850,,,,,,,,,,,,,,,,1,0.0,255,62.5,-51.134828,-29.995520,2025-10-20 08:28:52,10,2.8,10,+RESP:
2025-10-20 07:31:14,2025-10-20 07:31:14,2025-10-20 07:28:52,385349,862689070136285,1382,GTERI,4.03,00008200,698407,12446,80,00,11,,,14,1,0724,0006,060F,0BA7,0.0,255,62.5,-29.995520,-51.134828,2.8,,14,0,1,850,,,,,,,,,,,,,,,,1,0.0,255,62.5,-51.134828,-29.995520,2025-10-20 07:28:52,14,2.8,10,+RESP:
2025-10-20 06:31:14,2025-10-20 06:31:14,2025-10-20 06:28:52,385349,862689070136285,1381,GTERI,4.06,00008200,698407,12446,80,00,11,,,15,1,0724,0006,060F,0BA7,0.0,255,62.5,-29.995520,-51.134828,2.8,,14,0,1,850,,,,,,,,,,,,,,,,1,0.0,255,62.5,-51.134828,-29.995520,2025-10-20 06:28:52,15,2.8,10,+RESP:
2025-10-20 05:31:14,2025-10-20 05:31:14,2025-10-20 05:28:52,385349,862689070136285,1380,GTERI,4.08,00008200,698407,12446,80,00,11,,,15,1,0724,0006,060F,0BA7,0.0,255,62.5,-29.995520,-51.134828,2.8,,14,0,1,850,,,,,,,,,,,,,,,,1,0.0,255,62.5,-51.134828,-29.995520,2025-10-20 05:28:52,15,2.8,10,+RESP:
2025-10-20 04:31:14,2025-10-20 04:31:14,2025-10-20 04:28:52,385349,862689070136285,1379,GTERI,4.10,00008200,698407,12454,80,00,11,,,16,1,0724,0006,060F,0BA7,0.0,255,62.5,-29.995520,-51.134828,2.8,,14,0,1,850,,,,,,,,,,,,,,,,1,0.0,255,62.5,-51.134828,-29.995520,2025-10-20 04:28:52,16,2.8,10,+RESP:
2025-10-20 03:31:14,2025-10-20 03:31:14,2025-10-20 03:28:52,385349,862689070136285,1378,GTERI,4.12,00008200,698407,12454,80,00,11,,,13,1,0724,0006,060F,0BA7,0.0,255,62.5,-29.995520,-51.134828,2.8,,14,0,1,850,,,,,,,,,,,,,,,,1,0.0,255,62.5,-51.134828,-29.995520,2025-10-20 03:28:52,13,2.8,10,+RESP:
2025-10-20 02:31:14,2025-10-20 02:31:14,2025-10-20 02:28:52,385349,862689070136285,1377,GTERI,4.16,00008200,698407,12446,80,00,11,,,13,1,0724,0006,060F,0BA7,0.0,255,62.5,-29.995520,-51.134828,2.8,,14,0,1,850,,,,,,,,,,,,,,,,1,0.0,255,62.5,-51.134828,-29.995520,2025-10-20 02:28:52,13,2.8,10,+RESP:
2025-10-20 01:31:14,2025-10-20 01:31:14,2025-10-20 01:29:17,385349,862689070136285,1376,GTERI,4.19,00008200,698407,12293,80,00,11,,,15,1,0724,0006,060F,0BA7,0.0,255,62.5,-29.995520,-51.134828,2.8,,15,0,1,850,,,,,,,,,,,,,,,,1,0.0,255,62.5,-51.134828,-29.995520,2025-10-20 01:29:17,15,2.8,10,+RESP:
