Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,MS GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,MS Satellite Number,Duração da Ignição,Precisão GNSS,MS GNSS Accuracy,Velocidade,Max Speed,Azimuth,MS Azimuth,Altitude,MS Altitude,Latitude,MS Latitude,Longitude,MS Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,MS Mileage,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,Message_Category,Match_Type,Match_ID,delta,Delta,Tempo de fix,Match_Complete
2025-09-29 15:16:36,2025-09-29 15:16:36,2025-09-29 15:14:10,2025-09-29 15:14:10,867488068383602,257,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,4,24191,0000,-,00,00,11,5,5,-,01,01,0.0,0.0,171,171,1036,1036,-25.047835,-25.047835,-51.542015,-51.542015,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:00:00,0:38:36,-,-,0,-,,,,,04,3,00000000,00,10,,T,NA,0,,,146.0,NA_0
2025-09-29 16:16:36,2025-09-29 16:16:36,2025-09-29 16:14:36,2025-09-29 16:14:36,867488068383602,318,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,4,23871,0000,-,00,00,11,7,7,-,01,01,0.0,0.0,171,171,1036,1036,-25.047835,-25.047835,-51.542015,-51.542015,0724,0004,85da,0f79f10e,0.0,0.0,0.0,0:00:00,0:38:36,-,-,0,-,,,,,01,1800,00000000,00,10,,T,NA,0,,,120.0,NA_0
2025-09-29 17:16:36,2025-09-29 17:16:36,2025-09-29 17:14:09,2025-09-29 17:14:09,867488068383602,379,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,4,23939,0000,-,00,00,11,4,4,-,01,01,0.0,0.0,171,171,1036,1036,-25.047835,-25.047835,-51.542015,-51.542015,0724,0004,85da,0f6ad10a,0.0,0.0,0.0,0:00:00,0:38:36,-,-,0,-,,,,,04,3,00000000,00,10,,T,NA,0,,,147.0,NA_0
2025-09-29 18:16:36,2025-09-29 18:16:36,2025-09-29 18:14:13,2025-09-29 18:14:13,867488068383602,440,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,5,23906,0000,-,00,00,11,4,4,-,01,01,0.0,0.0,171,171,1036,1036,-25.047835,-25.047835,-51.542015,-51.542015,0724,0004,85da,0f6ad116,0.0,0.0,0.0,0:00:00,0:38:36,-,-,0,-,,,,,04,1,00000000,00,10,,T,NA,0,,,143.0,NA_0
2025-09-29 18:22:30,2025-09-29 18:22:31,2025-09-29 18:14:13,2025-09-29 18:14:13,867488068383602,447,GTIGN,0x19fe7fbf,,802003,0x8303,0x0115,5,23350,0000,0000,01,00,22,4,4,33538,00,01,0.0,0.0,171,171,1036,1036,-25.047835,-25.047835,-51.542015,-51.542015,0724,0004,85da,0f6ad116,0.0,0.0,0.0,0:00:00,0:38:36,-,-,0,-,,,,,,,,,,,X,NA,0,,,498.0,NA_0
2025-09-29 18:22:31,2025-09-29 18:22:31,2025-09-29 18:14:13,2025-09-29 18:14:13,867488068383602,448,GTSTT,0x19fe7fbf,,802003,0x8303,0x0115,5,23350,0000,0000,01,00,22,4,4,-,00,00,0.0,0.0,171,171,1036,1036,-25.047835,-25.047835,-51.542015,-51.542015,0724,0004,85da,0f6ad116,0.0,0.0,0.0,0:00:00,0:38:36,-,-,0,-,,,,,,,,,,,X,NA,0,,,498.0,NA_0
2025-09-29 18:22:48,2025-09-29 18:22:49,2025-09-29 18:22:48,2025-09-29 18:22:48,867488068383602,449,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,5,26335,0000,-,01,00,22,4,4,-,01,01,2.3,2.3,249,249,1035,1035,-25.047915,-25.047915,-51.541813,-51.541813,0724,0004,85da,0f6ad116,0.0,0.0,0.0,0:00:18,0:38:54,-,-,0,-,,,,,04,1,00000000,00,10,,T,NA,0,,,1.0,NA_0
2025-09-29 18:22:48,2025-09-29 18:22:49,2025-09-29 18:22:48,2025-09-29 18:22:48,867488068383602,450,GTIGL,0x19fe7fbf,,802003,0x8303,0x0115,5,26335,0000,0000,01,00,22,4,4,-,01,01,2.3,2.3,249,249,1035,1035,-25.047915,-25.047915,-51.541813,-51.541813,0724,0004,85da,0f6ad116,0.0,0.0,0.0,0:00:18,0:38:54,-,-,0,-,,,,,,,,,00,,X,NA,0,,,1.0,NA_0
2025-09-29 18:25:32,2025-09-29 18:25:32,2025-09-29 18:25:31,2025-09-29 18:25:02,867488068383602,453,GTBTC,0x19fe7fbf,,802003,0x8303,0x0115,5,27179,0000,0000,01,00,22,12,12,-,01,01,0.0,11.8,249,316,1040,1039,-25.047813,-25.047811,-51.541915,-51.541855,0724,0004,85da,0f6ad116,0.0,0.0,0.0,0:03:00,0:41:36,-,-,0,-,,,,,,,,,,,X,NA,0,,,1.0,NA_0
2025-09-29 18:25:36,2025-09-29 18:25:37,2025-09-29 18:25:35,2025-09-29 18:25:36,867488068383602,454,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,5,27070,0000,-,01,00,22,12,12,-,01,01,0.0,0.0,115,115,1040,1040,-25.047813,-25.047813,-51.541915,-51.541915,0724,0004,85da,0f6ad116,0.0,0.0,0.0,0:03:06,0:41:42,-,-,0,-,,,,,04,1,00000000,00,10,,T,T5,1,,5.0,2.0,T5_1
