Sequência,veiPlaca,Tipo Dispositivo,IMEI,GNSS UTC Time,Data/Hora Inclusão,Data/Hora Evento,Azimuth,delay,Latitude,Longitude,Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Motion Status,Event Code,Hodômetro Total,RAT,Position Report Type,Tipo Mensagem,Message_Category,Match_Type,Match_ID,delta,Delta,Tempo de fix,Match_Complete,Distância,Discrepancia,Distancia esperada
674,QRQ1J66,83,4675739775,2025-06-11 15:43:19,2025-06-11 16:29:25.083,2025-06-11 16:28:59,85.0,26,-6.80884,-43.01148,17,Inválido,0,13497,0,667,21,21,112.84,0,GTIGN,X,X,,0,,,2740.0,NA_0,3.27,3.27*,0.0
676,QRQ1J66,83,4675739775,2025-06-11 16:29:54,2025-06-11 16:29:54.670,2025-06-11 16:29:54,272.0,0,-6.809066,-43.01165,11,Válido,0,12768,0,668,12,20,112.88,10,GTIGF,X,X,,0,,,0.0,NA_0,3.27,3.27*,0.0
677,QRQ1J66,83,4675739775,2025-06-11 16:34:54,2025-06-11 17:30:11.817,2025-06-11 16:34:54,272.0,3317,-6.809071,-43.01164,20,Válido,0,12433,1,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
678,QRQ1J66,83,4675739775,2025-06-11 17:34:58,2025-06-11 17:34:58.690,2025-06-11 17:34:58,191.0,0,-6.809109,-43.01167,14,Válido,0,12403,0,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
679,QRQ1J66,83,4675739775,2025-06-11 18:35:01,2025-06-11 19:30:18.183,2025-06-11 18:35:01,82.0,3317,-6.809074,-43.01164,14,Válido,0,12372,1,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
680,QRQ1J66,83,4675739775,2025-06-11 19:35:04,2025-06-11 19:35:05.240,2025-06-11 19:35:04,203.0,1,-6.809058,-43.01167,18,Válido,0,12403,0,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
681,QRQ1J66,83,4675739775,2025-06-11 20:35:07,2025-06-11 21:30:23.960,2025-06-11 20:35:07,78.0,3316,-6.809031,-43.01167,16,Válido,0,12403,1,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
682,QRQ1J66,83,4675739775,2025-06-11 21:35:10,2025-06-11 21:35:11.020,2025-06-11 21:35:10,0.0,1,-6.809029,-43.01169,16,Válido,0,12372,0,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
683,QRQ1J66,83,4675739775,2025-06-11 22:35:13,2025-06-11 23:30:30.670,2025-06-11 22:35:13,89.0,3317,-6.809007,-43.01168,16,Válido,0,12372,1,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
684,QRQ1J66,83,4675739775,2025-06-11 23:35:17,2025-06-11 23:35:17.720,2025-06-11 23:35:17,193.0,0,-6.809031,-43.01165,13,Válido,0,12372,0,760,11,27,112.88,10,Modo Econômico,GTERI,T,,0,,,0.0,NA_0,3.27,3.27*,0.0
