Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status
2025-06-12 07:57:15,2025-06-12 07:57:15,2025-06-12 07:09:51,867488061434766,17817,GTIGN,0x09fe7fbf,,802003,0x0a04,0x0a14,100,12722,0,0,1,0,22,12,3143,1,0.0,266,561,-23.226632,-47.509958,724,10,c553,0dbc7e02,0.0,1994.8,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,
2025-06-12 07:57:27,2025-06-12 07:57:27,2025-06-12 07:57:27,867488061434766,17819,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12340,0,-,1,0,22,12,-,1,7.2,87,571,-23.226341,-47.510123,724,10,c553,0dbc7e02,0.0,1994.8,0:00:00,0:00:00,-,-,0,-,,,,,4,7,0,0,10,
2025-06-12 07:57:31,2025-06-12 07:57:31,2025-06-12 07:57:31,867488061434766,17821,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12340,0,-,1,0,22,12,-,1,5.0,120,535,-23.226524,-47.509806,724,10,c553,0dbc7e02,0.1,1994.9,0:00:00,0:00:00,-,-,0,-,,,,,4,7,0,0,11,
2025-06-12 07:57:36,2025-06-12 07:57:36,2025-06-12 07:57:36,867488061434766,17822,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12266,0,-,1,0,22,12,-,1,4.4,89,543,-23.226565,-47.509706,724,10,c553,0dbc7e02,0.1,1994.9,0:00:00,0:00:00,-,-,0,-,,,,,4,7,0,0,11,
2025-06-12 07:57:39,2025-06-12 07:57:39,2025-06-12 07:57:39,867488061434766,17825,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12266,0,-,1,0,22,12,-,1,5.8,57,551,-23.226567,-47.509675,724,10,c553,0dbc7e02,0.1,1994.9,0:00:00,0:00:00,-,-,0,-,,,,,4,7,0,0,11,
2025-06-12 07:57:45,2025-06-12 07:57:45,2025-06-12 07:57:45,867488061434766,17826,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12346,0,-,1,0,22,12,-,1,6.6,185,559,-23.226575,-47.509668,724,10,c553,0dbc7e02,0.1,1994.9,0:00:00,0:00:00,-,-,0,-,,,,,4,7,0,0,11,
2025-06-12 07:58:45,2025-06-12 07:58:45,2025-06-12 07:58:45,867488061434766,17827,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12372,0,-,1,0,22,12,-,1,7.3,149,566,-23.226682,-47.509671,724,10,c553,0dbc7e16,0.1,1994.9,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,11,
2025-06-12 07:58:49,2025-06-12 07:58:49,2025-06-12 07:58:49,867488061434766,17828,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12321,0,-,1,0,22,12,-,1,6.8,117,568,-23.226743,-47.509603,724,10,c553,0dbc7e16,0.1,1994.9,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,11,
2025-06-12 07:59:03,2025-06-12 07:59:03,2025-06-12 07:59:03,867488061434766,17829,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12385,0,-,1,0,22,12,-,1,16.7,152,564,-23.226851,-47.509371,724,10,c553,0dbc7e16,0.1,1994.9,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,11,
2025-06-12 07:59:06,2025-06-12 07:59:06,2025-06-12 07:59:06,867488061434766,17830,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,12088,0,-,1,0,22,12,-,1,35.5,184,564,-23.227051,-47.509372,724,10,c553,0dbc7e16,0.1,1994.9,0:00:00,0:00:00,-,-,0,-,,,,,4,3,0,0,11,
