match_id,par_id,datetime,teste,referencia,diferenca,lat,lon,velocidade,observacao,problema
D2_08,2,2025-10-05 09:20:18,185.5,92.3,93.2,-9.546707,-35.729989,15.5,Direção completamente oposta,True
D2_21,2,2025-10-05 11:45:37,210.8,115.2,95.6,-9.548123,-35.731245,18.2,Possível manobra não detectada,True
D2_34,2,2025-10-05 14:32:51,198.4,102.7,95.7,-9.550345,-35.733567,22.0,Erro de orientação,True
D5_15,5,2025-10-08 10:18:44,165.2,70.5,94.7,-9.552567,-35.735789,28.5,Direção TM10 inconsistente,True
D5_28,5,2025-10-08 13:25:19,178.9,82.1,96.8,-9.554789,-35.738012,25.3,Grande diferença angular,True
D5_39,5,2025-10-08 16:40:33,192.3,95.8,96.5,-9.557012,-35.740234,30.0,Possível ré ou manobra,True
D7_12,7,2025-10-09 09:50:26,172.6,76.3,96.3,-9.559234,-35.742456,20.1,Orientação divergente,True
D7_25,7,2025-10-09 12:35:48,188.4,90.7,97.7,-9.561456,-35.744678,32.8,Direção oposta detectada,True
D7_38,7,2025-10-09 15:22:14,195.7,98.2,97.5,-9.563678,-35.746901,35.0,Problema de bússola possível,True
D8_09,8,2025-10-10 08:45:31,168.9,72.4,96.5,-9.545890,-35.728123,18.5,Diferença crítica de direção,True
D8_22,8,2025-10-10 11:30:55,182.3,84.8,97.5,-9.548012,-35.730345,28.5,Orientação incorreta,True
D8_35,8,2025-10-10 14:18:42,175.6,78.1,97.5,-9.550234,-35.732567,25.3,Padrão de erro mantido,True
D8_46,8,2025-10-10 17:05:29,190.2,92.5,97.7,-9.552456,-35.734789,31.2,Alta divergência angular,True

