match_id,par_id,datetime,lat,lon,discrepancia,teste_valor,ref_valor,diferenca,velocidade,direcao,observacao,problema
T1_37,1,2025-10-06 19:55:53,-9.546707,-35.729989,6.51,0,0,0,0.0,329.0,TM10 com direção fora do trajeto,True
T1_63,1,2025-10-07 13:28:34,-9.555560,-35.738926,26.4,26.4,0,26.4,0.0,212.0,Fix antigo do match,True
T2_15,2,2025-10-05 08:15:22,-9.548123,-35.731245,45.8,45.8,0,45.8,15.5,180.0,Dispersão GPS alta,True
T2_28,2,2025-10-05 10:30:45,-9.552345,-35.735678,52.3,52.3,0,52.3,22.0,195.0,Possível problema de sinal,True
T2_42,2,2025-10-05 14:20:18,-9.559876,-35.742134,38.6,38.6,0,38.6,18.2,210.0,Fix GPS inconsistente,True
T4_08,4,2025-10-06 11:45:33,-9.545678,-35.728901,67.2,67.2,0,67.2,35.0,165.0,Dispersão muito alta,True
T4_19,4,2025-10-06 13:22:56,-9.550123,-35.732567,55.9,55.9,0,55.9,28.5,178.0,Problema de precisão,True
T6_22,6,2025-10-07 09:18:44,-9.547890,-35.730234,41.3,41.3,0,41.3,20.1,188.0,GPS instável,True
T6_35,6,2025-10-07 11:50:12,-9.554321,-35.738456,48.7,48.7,0,48.7,25.3,202.0,Variação significativa,True
T6_48,6,2025-10-07 15:33:29,-9.561234,-35.745678,53.2,53.2,0,53.2,30.0,215.0,Alta dispersão pontual,True
T8_12,8,2025-10-08 10:25:37,-9.549012,-35.731890,62.5,62.5,0,62.5,32.8,172.0,Problema recorrente GPS,True
T8_27,8,2025-10-08 13:42:51,-9.556789,-35.739012,71.4,71.4,0,71.4,38.5,198.0,Dispersão crítica,True
T8_39,8,2025-10-08 16:15:23,-9.563456,-35.746234,59.8,59.8,0,59.8,31.2,220.0,Fix GPS problemático,True

