match_id,par_id,datetime,teste,referencia,diferenca,lat,lon,observacao,problema
V1_12,1,2025-10-06 08:22:15,45.5,23.2,22.3,-9.546707,-35.729989,TM10 reportando velocidade muito maior,True
V1_28,1,2025-10-06 10:45:33,52.8,30.1,22.7,-9.548123,-35.731245,Diferença consistente,True
V1_41,1,2025-10-06 14:18:47,38.6,16.3,22.3,-9.550345,-35.733567,Padrão de diferença similar,True
V4_09,4,2025-10-07 09:30:22,68.4,42.1,26.3,-9.552567,-35.735789,Velocidade TM10 discrepante,True
V4_23,4,2025-10-07 12:15:48,75.2,48.8,26.4,-9.554789,-35.738012,Alta diferença de velocidade,True
V4_35,4,2025-10-07 15:42:19,61.3,37.9,23.4,-9.557012,-35.740234,Problema de calibração possível,True
V5_08,5,2025-10-08 08:50:31,42.7,18.5,24.2,-9.559234,-35.742456,TM10 detectando movimento parado,True
V5_19,5,2025-10-08 11:25:44,38.9,14.2,24.7,-9.561456,-35.744678,Veículo possivelmente parado,True
V5_32,5,2025-10-08 14:38:56,45.3,20.1,25.2,-9.563678,-35.746901,Diferença em situação de parada,True
V8_14,8,2025-10-09 09:45:28,82.5,55.3,27.2,-9.545890,-35.728123,Velocidade muito divergente,True
V8_26,8,2025-10-09 12:30:42,73.8,48.2,25.6,-9.548012,-35.730345,Diferença significativa,True
V8_38,8,2025-10-09 15:55:17,65.4,39.8,25.6,-9.550234,-35.732567,Padrão de erro consistente,True
V8_47,8,2025-10-09 18:12:33,58.7,32.1,26.6,-9.552456,-35.734789,Alta discrepância mantida,True

