Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,Tipo Dispositivo,IMEI,Sequência,Tipo Mensagem,Bateria Interna,ERI Mask,Protocol Version,Alimentação Externa,Input Status,Output Status,Motion Status,Duration Ign On,Duration Ign Off,Satélites,Precisão GNSS,MCC,MNC,LAC,Cell ID,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Horímetro Total,CSQ RSSI,CSQ BER,RAT,BAND,ICCID,Ext. Pwr Supply,Charging,LED On,Timezone,Daylight Saving,Wave1 Output ID,Wave1 Output Active,BT Report Mask,BT Name,BT MAC Address,Peer Role,Peer Address Type,Driver ID,Login Status,MS GNSS Accuracy,Max Speed,MS Azimuth,MS Altitude,MS Longitude,MS Latitude,MS GNSS UTC Time,MS Satellite Number,MS Mileage,Position Report Type,Prefixo
2025-10-20 10:30:05,2025-10-20 10:30:04,2025-10-20 10:30:00,385349,862689070108177,4325,GTERI,4.19,00008200,698407,13970,81,00,22,,,9,1,0724,0005,B299,03363F0B,7.3,191,22.1,-22.972605,-43.392850,1125.8,,31,0,2,28,,,,,,,,,,,,,,,,1,50.1,46,21.2,-43.398130,-22.971393,2025-10-20 10:28:10,10,1125.1,10,+RESP:
2025-10-20 10:27:07,2025-10-20 10:27:07,2025-10-20 10:27:06,385349,862689070108177,4323,GTERI,4.19,00008200,698407,12916,81,00,22,,,9,1,0724,0005,B299,033B5409,10.9,230,27.0,-22.972667,-43.398265,1124.7,,22,0,2,28,,,,,,,,,,,,,,,,1,10.9,230,27.0,-43.398265,-22.972667,2025-10-20 10:27:06,9,1124.7,10,+RESP:
2025-10-20 10:26:53,2025-10-20 10:26:52,2025-10-20 09:45:36,385349,862689070108177,4321,GTIGN,4.19,,698407,12452,81,00,22,,43265,9,1,0724,0005,B299,033B5409,0.0,93,24.3,-22.972462,-43.398037,1124.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:
2025-10-20 09:47:57,2025-10-20 09:47:55,2025-10-20 09:45:36,385349,862689070108177,4320,GTERI,4.20,00008200,698407,12748,80,00,11,,,9,1,0724,0005,B299,033B5409,0.0,93,24.3,-22.972462,-43.398037,1124.7,,22,0,2,28,,,,,,,,,,,,,,,,1,0.0,93,24.3,-43.398037,-22.972462,2025-10-20 09:45:36,9,1124.7,10,+RESP:
2025-10-20 08:47:55,2025-10-20 08:47:55,2025-10-20 08:45:34,385349,862689070108177,4319,GTERI,4.20,00008200,698407,12564,80,00,11,,,9,1,0724,0005,B299,033B5409,0.0,93,24.3,-22.972462,-43.398037,1124.7,,24,0,2,28,,,,,,,,,,,,,,,,1,0.0,93,24.3,-43.398037,-22.972462,2025-10-20 08:45:34,9,1124.7,10,+RESP:
2025-10-20 07:47:55,2025-10-20 07:47:55,2025-10-20 07:45:34,385349,862689070108177,4318,GTERI,4.20,00008200,698407,12748,80,00,11,,,9,1,0724,0005,B299,033B5409,0.0,93,24.3,-22.972462,-43.398037,1124.7,,26,0,2,28,,,,,,,,,,,,,,,,1,0.0,93,24.3,-43.398037,-22.972462,2025-10-20 07:45:34,9,1124.7,10,+RESP:
2025-10-20 06:47:55,2025-10-20 06:47:55,2025-10-20 06:45:33,385349,862689070108177,4317,GTERI,4.20,00008200,698407,12748,80,00,11,,,11,1,0724,0005,B299,033B5409,0.0,93,24.3,-22.972462,-43.398037,1124.7,,22,0,2,28,,,,,,,,,,,,,,,,1,0.0,93,24.3,-43.398037,-22.972462,2025-10-20 06:45:33,11,1124.7,10,+RESP:
2025-10-20 05:48:04,2025-10-20 05:47:55,2025-10-20 05:45:34,385349,862689070108177,4316,GTERI,4.19,00008200,698407,12700,80,00,11,,,10,1,0724,0005,B299,033B5409,0.0,93,24.3,-22.972462,-43.398037,1124.7,,24,0,2,28,,,,,,,,,,,,,,,,1,0.0,93,24.3,-43.398037,-22.972462,2025-10-20 05:45:34,10,1124.7,10,+RESP:
2025-10-20 04:48:04,2025-10-20 04:47:55,2025-10-20 04:45:33,385349,862689070108177,4315,GTERI,4.19,00008200,698407,12716,80,00,11,,,10,1,0724,0005,B299,033B5409,0.0,93,24.3,-22.972462,-43.398037,1124.7,,23,0,2,28,,,,,,,,,,,,,,,,1,0.0,93,24.3,-43.398037,-22.972462,2025-10-20 04:45:33,10,1124.7,10,+RESP:
2025-10-20 03:48:04,2025-10-20 03:47:55,2025-10-20 03:45:33,385349,862689070108177,4314,GTERI,4.19,00008200,698407,12724,80,00,11,,,11,1,0724,0005,B299,033B5409,0.0,93,24.3,-22.972462,-43.398037,1124.7,,27,0,2,28,,,,,,,,,,,,,,,,1,0.0,93,24.3,-43.398037,-22.972462,2025-10-20 03:45:33,11,1124.7,10,+RESP:
