Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,Tipo Dispositivo,IMEI,Sequência,Tipo Mensagem,Bateria Interna,ERI Mask,Protocol Version,Alimentação Externa,Input Status,Output Status,Motion Status,Duration Ign On,Duration Ign Off,Satélites,Precisão GNSS,MCC,MNC,LAC,Cell ID,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Horímetro Total,CSQ RSSI,CSQ BER,RAT,BAND,ICCID,Ext. Pwr Supply,Charging,LED On,Timezone,Daylight Saving,Wave1 Output ID,Wave1 Output Active,BT Report Mask,BT Name,BT MAC Address,Peer Role,Peer Address Type,Driver ID,Login Status,MS GNSS Accuracy,Max Speed,MS Azimuth,MS Altitude,MS Longitude,MS Latitude,MS GNSS UTC Time,MS Satellite Number,MS Mileage,Position Report Type,Data/Hora Inclusão
2025-10-09 07:55:10,2025-10-09 07:55:10,2025-10-09 07:52:47,385349,862689070136657,1411,GTERI,4.09,00008200,698407,12640,80,00,11,,,10,2,0724,0005,A053,06901009,0.0,231,645.2,-23.296443,-51.201473,1.9,,25,0,2,28,,,,,,,,,,,,,,,,2,0.0,231,645.2,-51.201473,-23.296443,2025-10-09 07:52:47,10,1.9,10,2025-10-09 07:55:10
2025-10-09 08:00:34,2025-10-09 08:00:34,2025-10-09 07:52:47,385349,862689070136657,1412,GTIGN,4.09,,698407,12495,81,00,22,,50720,10,3,0724,0005,A053,06901009,0.0,231,645.2,-23.296443,-51.201473,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 08:00:34
2025-10-09 08:00:57,2025-10-09 08:00:58,2025-10-09 08:00:56,385349,862689070136657,1414,GTERI,4.10,00008200,698407,13895,81,00,22,,,6,2,0724,0005,A053,06901009,10.9,3,605.6,-23.296432,-51.201548,1.9,,20,0,2,28,,,,,,,,,,,,,,,,2,10.9,3,605.6,-51.201548,-23.296432,2025-10-09 08:00:56,6,1.9,10,2025-10-09 08:00:57
2025-10-09 08:01:06,2025-10-09 08:01:06,2025-10-09 08:01:05,385349,862689070136657,1416,GTERI,4.12,00008200,698407,12640,80,00,12,,,10,1,0724,0005,A053,06901009,11.7,11,627.0,-23.296323,-51.201503,1.9,,20,0,2,28,,,,,,,,,,,,,,,,1,11.7,11,627.0,-51.201503,-23.296323,2025-10-09 08:01:05,10,1.9,10,2025-10-09 08:01:06
2025-10-09 08:01:06,2025-10-09 08:01:06,2025-10-09 08:01:04,385349,862689070136657,1415,GTIGF,4.12,,698407,14024,80,00,12,32,,9,0,0724,0005,A053,06901009,11.7,11,627.0,-23.296323,-51.201503,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 08:01:06
2025-10-09 08:11:44,2025-10-09 08:11:44,2025-10-09 08:01:05,385349,862689070136657,1417,GTIGN,4.09,,698407,12463,81,00,22,,638,10,1,0724,0005,A053,06901009,11.7,11,627.0,-23.296323,-51.201503,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 08:11:44
2025-10-09 08:11:54,2025-10-09 08:11:55,2025-10-09 08:11:53,385349,862689070136657,1419,GTERI,4.09,00008200,698407,12463,81,00,22,,,8,1,0724,0005,A053,06901009,0.4,286,607.6,-23.296378,-51.201517,1.9,,24,0,2,28,,,,,,,,,,,,,,,,1,0.4,286,607.6,-51.201517,-23.296378,2025-10-09 08:11:53,8,1.9,10,2025-10-09 08:11:54
2025-10-09 08:12:14,2025-10-09 08:12:14,2025-10-09 08:12:15,385349,862689070136657,1421,GTERI,4.11,00008200,698407,13919,80,00,12,,,14,1,0724,0005,A053,06901009,3.0,74,624.3,-23.296398,-51.201398,1.9,,22,0,2,28,,,,,,,,,,,,,,,,1,3.0,74,624.3,-51.201398,-23.296398,2025-10-09 08:12:15,14,1.9,10,2025-10-09 08:12:14
2025-10-09 08:12:14,2025-10-09 08:12:14,2025-10-09 08:12:14,385349,862689070136657,1420,GTIGF,4.11,,698407,13911,80,00,12,30,,13,0,0724,0005,A053,06901009,3.0,74,624.3,-23.296398,-51.201398,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 08:12:14
2025-10-09 08:26:12,2025-10-09 08:26:12,2025-10-09 08:12:15,385349,862689070136657,1422,GTIGN,4.09,,698407,12455,81,00,22,,838,14,1,0724,0005,A053,06901009,3.0,74,624.3,-23.296398,-51.201398,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 08:26:12
2025-10-09 08:26:23,2025-10-09 08:26:23,2025-10-09 08:26:23,385349,862689070136657,1424,GTERI,4.09,00008200,698407,12479,81,00,22,,,11,1,0724,0005,A053,06901009,1.9,326,624.4,-23.296387,-51.201503,1.9,,18,0,2,28,,,,,,,,,,,,,,,,1,1.9,326,624.4,-51.201503,-23.296387,2025-10-09 08:26:23,11,1.9,10,2025-10-09 08:26:23
2025-10-09 08:28:16,2025-10-09 08:28:18,2025-10-09 08:28:17,385349,862689070136657,1427,GTERI,4.19,00008200,698407,13187,80,00,12,,,12,1,0724,0005,A053,06901009,0.0,87,644.0,-23.296255,-51.201463,1.9,,17,0,2,28,,,,,,,,,,,,,,,,1,0.0,87,644.0,-51.201463,-23.296255,2025-10-09 08:28:17,12,1.9,10,2025-10-09 08:28:16
2025-10-09 08:28:16,2025-10-09 08:28:17,2025-10-09 08:28:14,385349,862689070136657,1426,GTIGF,4.19,,698407,13943,80,00,12,122,,12,0,0724,0005,A053,06901009,0.0,87,644.0,-23.296255,-51.201463,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 08:28:16
2025-10-09 09:28:15,2025-10-09 09:28:16,2025-10-09 09:25:59,385349,862689070136657,1428,GTERI,4.06,00008200,698407,12616,80,00,11,,,8,1,0724,0005,A053,06901009,0.0,87,644.0,-23.296255,-51.201463,1.9,,22,0,2,28,,,,,,,,,,,,,,,,1,0.0,87,644.0,-51.201463,-23.296255,2025-10-09 09:25:59,8,1.9,10,2025-10-09 09:28:15
2025-10-09 09:43:50,2025-10-09 09:43:51,2025-10-09 09:25:59,385349,862689070136657,1429,GTIGN,4.06,,698407,12592,81,00,22,,4534,8,1,0724,0005,A053,06901009,0.0,87,644.0,-23.296255,-51.201463,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:43:50
2025-10-09 09:44:21,2025-10-09 09:44:22,2025-10-09 09:44:22,385349,862689070136657,1431,GTERI,4.09,00008200,698407,12978,81,00,22,,,6,1,0724,0005,A053,06901009,10.1,56,653.5,-23.296342,-51.201337,1.9,,17,0,2,28,,,,,,,,,,,,,,,,1,10.1,56,653.5,-51.201337,-23.296342,2025-10-09 09:44:22,6,1.9,10,2025-10-09 09:44:21
2025-10-09 09:45:07,2025-10-09 09:45:03,,385349,862689070136657,1432,GTCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:07
2025-10-09 09:45:08,2025-10-09 09:45:03,,385349,862689070136657,1434,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:08
2025-10-09 09:45:08,2025-10-09 09:45:03,,385349,862689070136657,1433,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:08
2025-10-09 09:45:09,2025-10-09 09:45:04,,385349,862689070136657,1436,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:09
2025-10-09 09:45:09,2025-10-09 09:45:03,,385349,862689070136657,1435,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:09
2025-10-09 09:45:10,2025-10-09 09:45:04,,385349,862689070136657,1438,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:10
2025-10-09 09:45:10,2025-10-09 09:45:04,,385349,862689070136657,1437,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:10
2025-10-09 09:45:11,2025-10-09 09:45:04,,385349,862689070136657,1440,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:11
2025-10-09 09:45:11,2025-10-09 09:45:04,,385349,862689070136657,1439,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:11
2025-10-09 09:45:12,2025-10-09 09:45:04,,385349,862689070136657,1442,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:12
2025-10-09 09:45:12,2025-10-09 09:45:04,,385349,862689070136657,1441,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:12
2025-10-09 09:45:13,2025-10-09 09:45:04,,385349,862689070136657,1444,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:13
2025-10-09 09:45:13,2025-10-09 09:45:04,,385349,862689070136657,1443,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:13
2025-10-09 09:45:14,2025-10-09 09:45:04,,385349,862689070136657,1446,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:14
2025-10-09 09:45:14,2025-10-09 09:45:04,,385349,862689070136657,1445,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:14
2025-10-09 09:45:15,2025-10-09 09:45:08,,385349,862689070136657,1448,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:15
2025-10-09 09:45:15,2025-10-09 09:45:04,,385349,862689070136657,1447,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:15
2025-10-09 09:45:16,2025-10-09 09:45:08,,385349,862689070136657,1450,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:16
2025-10-09 09:45:16,2025-10-09 09:45:08,,385349,862689070136657,1449,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:16
2025-10-09 09:45:17,2025-10-09 09:45:08,,385349,862689070136657,1452,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:17
2025-10-09 09:45:17,2025-10-09 09:45:08,,385349,862689070136657,1451,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:17
2025-10-09 09:45:18,2025-10-09 09:45:08,,385349,862689070136657,1454,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:18
2025-10-09 09:45:18,2025-10-09 09:45:08,,385349,862689070136657,1453,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:18
2025-10-09 09:45:19,2025-10-09 09:45:08,,385349,862689070136657,1456,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:19
2025-10-09 09:45:19,2025-10-09 09:45:08,,385349,862689070136657,1455,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:19
2025-10-09 09:45:20,2025-10-09 09:45:08,,385349,862689070136657,1458,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:20
2025-10-09 09:45:20,2025-10-09 09:45:08,,385349,862689070136657,1457,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:20
2025-10-09 09:45:21,2025-10-09 09:45:08,,385349,862689070136657,1460,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:21
2025-10-09 09:45:21,2025-10-09 09:45:08,,385349,862689070136657,1459,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:21
2025-10-09 09:45:22,2025-10-09 09:45:08,,385349,862689070136657,1462,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:22
2025-10-09 09:45:22,2025-10-09 09:45:08,,385349,862689070136657,1461,GTCRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 09:45:22
