Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Serviço,Message Type,Tipo Dispositivo,Event Index,Event Code,Alimentação Externa,Digital Input Status,Ignição,Satélites,HDOP,Fix Status,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Accum0,Accum1,Accum2,Accum3,Accum4,Accum5,Accum6,Accum7,Accum8,Accum9,Accum10,Accum11,Accum12,Accum13,Accum14,Accum15,Carrier,RSSI,Comm State
2025-10-20 08:33:22,2025-10-20 08:33:22,2025-10-20 08:33:22,4675740293,3914,01,02,83,123,30,30613,2F,1,15,0.7,00,57,9,1060.2,-25.0100154,-51.5453658,1140.0,0011654E,0021802F,00007795,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FF7C,AF
2025-10-20 08:30:22,2025-10-20 08:30:22,2025-10-20 08:30:22,4675740293,3913,01,02,83,123,30,30613,0F,1,16,0.7,00,45,349,1030.5,-25.0384516,-51.5460846,1136.9,001158D8,0021800F,00007795,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FF97,AF
2025-10-20 08:27:33,2025-10-20 08:27:33,2025-10-20 08:27:33,4675740293,3912,01,02,83,255,44,30704,0F,1,16,0.6,00,0,121,1025.7,-25.0452735,-51.5434559,1136.0,0011559B,0021800F,000077F0,14000219,00000000,00000000,00000000,00000000,00000000,000DD183,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFAD,AF
2025-10-20 08:27:22,2025-10-20 08:27:22,2025-10-20 08:27:22,4675740293,3911,01,02,83,112,21,21797,0F,1,16,0.6,00,0,236,1027.9,-25.0452682,-51.5434616,1136.0,0011559B,0021800F,00005525,14000219,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA7,AF
2025-10-20 08:27:18,2025-10-20 08:27:18,2025-10-20 08:27:18,4675740293,3910,01,02,83,128,20,24837,0E,0,16,0.6,00,0,206,1028.0,-25.0452621,-51.5434548,1136.0,0011559B,0021800E,00006105,14000219,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFAC,AF
2025-10-20 08:27:16,2025-10-20 08:27:16,2025-10-20 08:27:16,4675740293,3909,01,02,83,255,45,24776,0E,0,16,0.6,00,0,206,1027.8,-25.0452613,-51.543453,1136.0,0011559B,0021800E,000060C8,14000219,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFAC,AF
2025-10-20 08:25:35,2025-10-20 08:25:35,2025-10-20 08:25:35,4675740293,3908,01,02,83,123,30,24502,0F,1,15,0.7,00,0,18,1027.6,-25.0452631,-51.543456,1136.0,0011559B,0021800F,00005FB6,14000219,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFAC,AF
2025-10-20 08:22:35,2025-10-20 08:22:35,2025-10-20 08:22:35,4675740293,3907,01,02,83,123,30,24806,0F,1,13,0.9,00,0,18,1027.3,-25.0452634,-51.5434557,1136.0,0011559B,0021800F,000060E6,14000219,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFAB,AF
2025-10-20 08:20:35,2025-10-20 08:20:34,2025-10-20 08:20:34,4675740293,3906,01,02,83,255,46,24685,0F,1,14,0.8,00,0,82,1028.3,-25.0452768,-51.5434336,1136.0,0011559B,0021800F,0000606D,14000219,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA8,AF
2025-10-20 08:19:35,2025-10-20 08:19:35,2025-10-20 08:19:35,4675740293,3905,01,02,83,123,30,25049,0F,1,13,0.8,00,0,82,1028.2,-25.0452758,-51.5434338,1136.0,0011559B,0021800F,000061D9,14000219,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA9,AF
2025-10-20 08:16:35,2025-10-20 08:16:35,2025-10-20 08:16:35,4675740293,3904,01,02,83,112,21,25627,0F,1,15,0.7,00,0,259,1026.5,-25.0452825,-51.5434289,1136.0,0011559B,0021800F,0000641B,14000219,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA7,AF
2025-10-20 08:16:13,2025-10-20 08:16:13,2025-10-20 08:16:13,4675740293,3903,01,02,83,128,20,25931,0E,0,13,0.8,00,0,51,1026.4,-25.0452833,-51.5434377,1136.0,0011559B,0021800E,0000654B,14000219,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA9,AF
2025-10-20 08:16:12,2025-10-20 08:16:12,2025-10-20 08:16:12,4675740293,3902,01,02,83,255,45,25931,0E,0,13,0.8,00,0,51,1026.4,-25.0452832,-51.5434377,1136.0,0011559B,0021800E,0000654B,14000219,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0005,FFA9,AF
