Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,MS GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,MS Satellite Number,Duração da Ignição,Precisão GNSS,MS GNSS Accuracy,Velocidade,Max Speed,Azimuth,MS Azimuth,Altitude,MS Altitude,Latitude,MS Latitude,Longitude,MS Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,MS Mileage,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status
2025-09-29 16:24:09,,,,867488067664325,2435,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 16:24:09,2025-09-29 16:24:08,2025-09-29 15:38:05,2025-09-29 12:24:20,867488067664325,2437,GTIGN,0x19fe7fbf,,802003,0x8303,0x0115,100,12418,0000,0000,01,00,21,7,12,13735,00,01,0.0,69.5,60,332,93,103,-9.540185,-9.575247,-35.725916,-35.738068,0724,0011,c406,06690403,0.0,0.0,15.2,0:00:00,1:31:41,-,-,0,-,,,,,,,,,,
2025-09-29 16:24:09,2025-09-29 16:24:08,2025-09-29 15:38:05,2025-09-29 15:38:05,867488067664325,2438,GTSTT,0x19fe7fbf,,802003,0x8303,0x0115,100,12418,0000,0000,01,00,21,7,7,-,00,00,0.0,0.0,60,60,93,93,-9.540185,-9.540185,-35.725916,-35.725916,0724,0011,c406,06690403,0.0,0.0,0.0,0:00:00,1:31:41,-,-,0,-,,,,,,,,,,
2025-09-29 16:24:21,2025-09-29 16:24:20,2025-09-29 16:24:21,2025-09-29 16:24:21,867488067664325,2439,GTERI,0x19fe3fbf,0x00028102,802003,0x8303,0x0115,100,12350,0000,-,01,00,21,7,7,-,01,01,0.0,0.0,60,60,86,86,-9.540173,-9.540173,-35.725942,-35.725942,0724,0011,c406,06690403,0.0,0.0,0.0,0:00:12,1:31:53,-,-,0,-,,,,,04,7,00000000,00,10,
2025-09-29 16:24:21,2025-09-29 16:24:20,2025-09-29 16:24:21,2025-09-29 16:24:21,867488067664325,2440,GTIGL,0x19fe7fbf,,802003,0x8303,0x0115,100,12350,0000,0000,01,00,21,7,7,-,01,01,0.0,0.0,60,60,86,86,-9.540173,-9.540173,-35.725942,-35.725942,0724,0011,c406,06690403,0.0,0.0,0.0,0:00:12,1:31:53,-,-,0,-,,,,,,,,,00,
2025-09-29 16:24:25,2025-09-29 16:24:24,2025-09-29 16:24:25,2025-09-29 16:24:25,867488067664325,2441,GTSTT,0x19fe7fbf,,802003,0x8303,0x0115,100,12350,0000,0000,01,00,22,6,6,-,01,01,0.0,0.0,60,60,86,86,-9.540173,-9.540173,-35.725942,-35.725942,0724,0011,c406,06690403,0.0,0.0,0.0,0:00:15,1:31:56,-,-,0,-,,,,,,,,,,
2025-09-29 16:25:25,2025-09-29 16:25:24,2025-09-29 16:25:25,2025-09-29 16:25:25,867488067664325,2442,GTSTT,0x19fe7fbf,,802003,0x8303,0x0115,100,14308,0000,0000,01,00,21,12,12,-,01,01,0.0,0.0,60,60,86,86,-9.540173,-9.540173,-35.725942,-35.725942,0724,0011,c406,06690403,0.0,0.0,0.0,0:01:15,1:32:56,-,-,0,-,,,,,,,,,,
2025-09-29 16:25:55,,,,867488067664325,2443,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 16:25:56,2025-09-29 16:25:55,2025-09-29 16:25:55,2025-09-29 16:25:55,867488067664325,2444,GTSTT,0x19fe7fbf,,802003,0x8303,0x0115,100,14215,0000,0000,01,00,22,12,12,-,01,01,0.0,0.0,0,0,86,86,-9.540173,-9.540173,-35.725942,-35.725942,0724,0011,c406,06690403,0.0,0.0,0.0,0:01:45,1:33:26,-,-,0,-,,,,,,,,,,
2025-09-29 16:27:09,2025-09-29 16:27:09,2025-09-29 16:27:08,2025-09-29 16:27:05,867488067664325,2446,GTBTC,0x19fe7fbf,,802003,0x8303,0x0115,100,14293,0000,0000,01,00,22,12,12,-,01,01,33.6,34.5,225,225,91,92,-9.54254,-9.542359,-35.725568,-35.725383,0724,0011,c406,06690403,0.4,0.4,0.4,0:03:00,1:34:41,-,-,0,-,,,,,,,,,,
