Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Serviço,Message Type,Tipo Dispositivo,Event Index,Event Code,Alimentação Externa,Digital Input Status,Ignição,Satélites,HDOP,Fix Status,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Accum0,Accum1,Accum2,Accum3,Accum4,Accum5,Accum6,Accum7,Accum8,Accum9,Accum10,Accum11,Accum12,Accum13,Accum14,Accum15,Carrier,RSSI,Comm State
2025-10-20 09:20:33,2025-10-20 09:20:33,2025-10-20 09:20:33,4675529076,2567,01,02,83,75,27,12190,0E,0,13,0.8,00,0,137,666.0,-28.2395139,-52.3990178,1745.0,001AA060,0001800E,00002F9E,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FF9F,8F
2025-10-20 09:15:46,2025-10-20 08:20:29,2025-10-20 08:20:29,4675529076,2566,01,02,83,75,27,12220,0E,0,15,0.7,20,0,46,671.9,-28.2394454,-52.3989805,1745.0,001AA060,0001800E,00002FBC,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA2,8F
2025-10-20 07:20:25,2025-10-20 07:20:25,2025-10-20 07:20:25,4675529076,2565,01,02,83,75,27,12220,0E,0,18,0.6,00,0,36,680.0,-28.2394216,-52.3989939,1745.0,001AA060,0001800E,00002FBC,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
2025-10-20 07:15:39,2025-10-20 06:20:22,2025-10-20 06:20:22,4675529076,2564,01,02,83,75,27,12220,0E,0,17,0.6,20,0,342,683.3,-28.2395232,-52.3990129,1745.0,001AA060,0001800E,00002FBC,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA0,8F
2025-10-20 05:20:19,2025-10-20 05:20:19,2025-10-20 05:20:19,4675529076,2563,01,02,83,75,27,12190,0E,0,17,0.7,00,0,335,657.6,-28.2394493,-52.3990336,1745.0,001AA060,0001800E,00002F9E,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA2,8F
2025-10-20 05:15:32,2025-10-20 04:20:16,2025-10-20 04:20:16,4675529076,2562,01,02,83,75,27,12251,0E,0,19,0.6,20,0,0,668.2,-28.2394826,-52.3989892,1745.0,001AA060,0001800E,00002FDB,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA2,8F
2025-10-20 04:20:17,2025-10-20 04:20:16,2025-10-20 04:20:16,4675529076,2562,01,02,83,75,27,12251,0E,0,19,0.6,00,0,0,668.2,-28.2394826,-52.3989892,1745.0,001AA060,0001800E,00002FDB,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA2,8F
2025-10-20 03:20:13,2025-10-20 03:20:13,2025-10-20 03:20:13,4675529076,2561,01,02,83,75,27,12251,0E,0,18,0.6,00,0,226,662.9,-28.239483,-52.398987,1745.0,001AA060,0001800E,00002FDB,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA2,8F
2025-10-20 03:15:26,2025-10-20 02:20:09,2025-10-20 02:20:09,4675529076,2560,01,02,83,75,27,12251,0E,0,16,0.7,20,0,352,676.4,-28.2394897,-52.398949,1745.0,001AA060,0001800E,00002FDB,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA2,8F
2025-10-20 02:20:09,2025-10-20 02:20:09,2025-10-20 02:20:09,4675529076,2560,01,02,83,75,27,12251,0E,0,16,0.7,00,0,352,676.4,-28.2394897,-52.398949,1745.0,001AA060,0001800E,00002FDB,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA2,8F
2025-10-20 01:20:05,2025-10-20 01:20:05,2025-10-20 01:20:05,4675529076,2559,01,02,83,75,27,12220,0E,0,17,0.6,00,0,5,687.9,-28.2395578,-52.3989952,1745.0,001AA060,0001800E,00002FBC,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
2025-10-20 00:20:01,2025-10-20 00:20:01,2025-10-20 00:20:01,4675529076,2558,01,02,83,75,27,12251,0E,0,18,0.6,00,0,0,673.7,-28.2394598,-52.3989848,1745.0,001AA060,0001800E,00002FDB,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
2025-10-19 23:19:58,2025-10-19 23:19:58,2025-10-19 23:19:58,4675529076,2557,01,02,83,75,27,12281,0E,0,16,0.6,00,0,305,656.2,-28.2394705,-52.3989614,1745.0,001AA060,0001800E,00002FF9,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
2025-10-19 23:15:11,2025-10-19 22:19:55,2025-10-19 22:19:55,4675529076,2556,01,02,83,75,27,12281,0E,0,17,0.6,20,0,228,658.9,-28.2395304,-52.3989632,1745.0,001AA060,0001800E,00002FF9,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
2025-10-19 21:19:53,2025-10-19 21:19:52,2025-10-19 21:19:52,4675529076,2555,01,02,83,75,27,12281,0E,0,16,0.7,00,0,32,674.6,-28.2394927,-52.3989443,1745.0,001AA060,0001800E,00002FF9,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA0,8F
2025-10-19 21:15:06,2025-10-19 20:19:49,2025-10-19 20:19:49,4675529076,2554,01,02,83,75,27,12281,0E,0,15,0.7,20,0,2,666.6,-28.2395167,-52.3989263,1745.0,001AA060,0001800E,00002FF9,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA2,8F
2025-10-19 20:19:49,2025-10-19 20:19:49,2025-10-19 20:19:49,4675529076,2554,01,02,83,75,27,12281,0E,0,15,0.7,00,0,2,666.6,-28.2395167,-52.3989263,1745.0,001AA060,0001800E,00002FF9,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA2,8F
2025-10-19 19:19:45,2025-10-19 19:19:45,2025-10-19 19:19:45,4675529076,2553,01,02,83,75,27,12312,0E,0,15,0.7,00,0,0,664.4,-28.239518,-52.398977,1745.0,001AA060,0001800E,00003018,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
2025-10-19 18:19:41,2025-10-19 18:19:41,2025-10-19 18:19:41,4675529076,2552,01,02,83,75,27,12281,0E,0,15,0.7,00,0,65,656.9,-28.2394412,-52.3990018,1745.0,001AA060,0001800E,00002FF9,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
2025-10-19 18:14:54,2025-10-19 17:19:37,2025-10-19 17:19:37,4675529076,2551,01,02,83,75,27,12312,0E,0,14,0.7,20,0,327,675.0,-28.2395506,-52.3989937,1745.0,001AA060,0001800E,00003018,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
2025-10-19 16:19:34,2025-10-19 16:19:34,2025-10-19 16:19:34,4675529076,2550,01,02,83,75,27,12342,0E,0,14,0.7,00,0,311,665.3,-28.2394862,-52.3989598,1745.0,001AA060,0001800E,00003036,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
2025-10-19 16:14:47,2025-10-19 15:19:31,2025-10-19 15:19:31,4675529076,2549,01,02,83,75,27,12342,0E,0,17,0.6,20,0,0,669.7,-28.2395175,-52.3989999,1745.0,001AA060,0001800E,00003036,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
2025-10-19 15:19:31,2025-10-19 15:19:31,2025-10-19 15:19:31,4675529076,2549,01,02,83,75,27,12342,0E,0,17,0.6,00,0,0,669.7,-28.2395175,-52.3989999,1745.0,001AA060,0001800E,00003036,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
2025-10-19 14:19:29,2025-10-19 14:19:28,2025-10-19 14:19:28,4675529076,2548,01,02,83,75,27,12342,0E,0,16,0.7,00,0,0,669.6,-28.2394945,-52.3989347,1745.0,001AA060,0001800E,00003036,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA0,8F
2025-10-19 14:14:42,2025-10-19 13:19:25,2025-10-19 13:19:25,4675529076,2547,01,02,83,75,27,12403,0E,0,16,0.6,20,0,164,669.4,-28.2394718,-52.3989528,1745.0,001AA060,0001800E,00003073,1900034A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0006,FFA1,8F
