Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Serviço,Message Type,Tipo Dispositivo,Event Index,Event Code,Alimentação Externa,Digital Input Status,Ignição,Satélites,HDOP,Fix Status,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Accum0,Accum1,Accum2,Accum3,Accum4,Accum5,Accum6,Accum7,Accum8,Accum9,Accum10,Accum11,Accum12,Accum13,Accum14,Accum15,Carrier,RSSI,Comm State
2025-10-20 09:50:54,2025-10-20 09:50:53,2025-10-20 09:50:53,4675530620,3604,01,02,83,75,27,4058,0A,0,16,0.7,00,0,0,1068.6,-25.0430357,-51.5339767,815.0,000C6FB3,0001800A,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFBA,0F
2025-10-20 08:50:49,2025-10-20 08:50:49,2025-10-20 08:50:49,4675530620,3603,01,02,83,75,27,4058,0A,0,15,0.7,00,0,0,1076.2,-25.0430288,-51.533911,815.0,000C6FB3,0001800A,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFBA,0F
2025-10-20 07:50:45,2025-10-20 07:50:45,2025-10-20 07:50:45,4675530620,3602,01,02,83,75,27,4058,0A,0,18,0.6,00,0,290,1075.9,-25.0430159,-51.5339407,815.0,000C6FB3,0001800A,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFBC,0F
2025-10-20 07:45:45,2025-10-20 07:45:45,2025-10-20 07:45:45,4675530620,3601,01,02,83,128,20,4058,0A,0,18,0.6,00,0,290,1075.6,-25.043014,-51.5339488,815.0,000C6FB3,0001800A,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFBE,0F
2025-10-20 07:45:38,2025-10-20 07:45:38,2025-10-20 07:45:38,4675530620,3600,01,02,83,118,38,4058,0B,1,18,0.6,00,13,343,1075.9,-25.0430584,-51.5338912,815.0,000C6FAA,0001800B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFBE,0F
2025-10-20 07:45:33,2025-10-20 07:45:33,2025-10-20 07:45:33,4675530620,3599,01,02,83,118,38,4058,2B,1,18,0.6,00,11,109,1075.3,-25.0431641,-51.5339804,815.0,000C6F98,0001802B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFB7,0F
2025-10-20 07:45:15,2025-10-20 07:45:14,2025-10-20 07:45:14,4675530620,3598,01,02,83,118,38,4058,2B,1,17,0.6,00,11,172,1071.1,-25.0426257,-51.5342103,814.9,000C6F53,0001802B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFBF,0F
2025-10-20 07:44:20,2025-10-20 07:44:20,2025-10-20 07:44:20,4675530620,3597,01,02,83,118,38,4058,2B,1,18,0.6,00,15,92,1059.2,-25.0427475,-51.536369,814.7,000C6E67,0001802B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFB2,0F
2025-10-20 07:42:30,2025-10-20 07:42:29,2025-10-20 07:42:29,4675530620,3596,01,02,83,4,39,4058,2B,1,18,0.6,00,57,355,1062.2,-25.0498448,-51.5353025,813.9,000C6B49,0001802B,00000FDA,8E0BE0D2,00000000,00000000,00000000,00000071,00000000,00000000,00000000,0000D21E,00000000,00000000,00000000,00000000,0004,FFA8,0F
2025-10-20 07:42:30,,,,3595
