Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,Tipo Dispositivo,IMEI,Sequência,Tipo Mensagem,Bateria Interna,ERI Mask,Protocol Version,Alimentação Externa,Input Status,Output Status,Motion Status,Duration Ign On,Duration Ign Off,Satélites,Precisão GNSS,MCC,MNC,LAC,Cell ID,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Horímetro Total,CSQ RSSI,CSQ BER,RAT,BAND,ICCID,Ext. Pwr Supply,Charging,LED On,Timezone,Daylight Saving,Wave1 Output ID,Wave1 Output Active,BT Report Mask,BT Name,BT MAC Address,Peer Role,Peer Address Type,Driver ID,Login Status,MS GNSS Accuracy,Max Speed,MS Azimuth,MS Altitude,MS Longitude,MS Latitude,MS GNSS UTC Time,MS Satellite Number,MS Mileage,Position Report Type
2025-10-06 07:32:12,2025-10-06 07:32:12,2025-10-06 07:30:12,385349,862689070136285,798,GTERI,4.19,00008200,698407,12584,80,00,11,,,14,1,0724,0023,0533,F8CB,0.0,358,812.3,-20.031493,-44.313677,1.0,,11,0,1,1800,,,,,,,,,,,,,,,,1,0.0,358,812.3,-44.313677,-20.031493,2025-10-06 07:30:12,14,1.0,10
2025-10-06 07:57:30,2025-10-06 07:50:43,2025-10-06 07:30:12,385349,862689070136285,799,GTIGN,4.19,,698407,12560,81,00,21,,8311,14,1,0724,0023,0533,F8CB,0.0,358,812.3,-20.031493,-44.313677,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-06 07:57:32,2025-10-06 07:50:52,2025-10-06 07:50:51,385349,862689070136285,801,GTERI,4.19,00008200,698407,14346,81,00,22,,,10,1,0724,0023,0533,F8CB,8.3,320,814.6,-20.031292,-44.313722,1.0,,9,0,1,1800,,,,,,,,,,,,,,,,1,8.3,320,814.6,-44.313722,-20.031292,2025-10-06 07:50:51,10,1.0,10
2025-10-06 07:57:33,2025-10-06 07:50:53,2025-10-06 07:50:52,385349,862689070136285,802,GTSPD,4.19,,698407,14346,81,00,22,,,9,1,0724,0023,0533,F8CB,8.1,327,812.7,-20.031260,-44.313720,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-06 07:57:35,2025-10-06 07:52:23,2025-10-06 07:52:22,385349,862689070136285,804,GTIGF,4.19,,698407,12907,80,00,12,100,,11,0,0724,0023,541B,033BF197,0.0,41,837.2,-20.029860,-44.313090,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-06 07:57:36,2025-10-06 07:52:23,2025-10-06 07:52:23,385349,862689070136285,805,GTERI,4.19,00008200,698407,12802,80,00,12,,,10,1,0724,0023,541B,033BF197,0.0,41,837.2,-20.029860,-44.313090,1.4,,25,0,3,28,,,,,,,,,,,,,,,,1,0.0,41,837.2,-44.313090,-20.029860,2025-10-06 07:52:23,10,1.4,10
2025-10-06 07:57:37,2025-10-06 07:52:47,2025-10-06 07:52:23,385349,862689070136285,806,GTIGN,4.19,,698407,12689,81,00,21,,24,10,1,0724,0023,541B,033BF197,0.0,41,837.2,-20.029860,-44.313090,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-06 07:57:39,2025-10-06 07:53:01,2025-10-06 07:53:00,385349,862689070136285,809,GTERI,4.19,00008200,698407,12527,80,00,1A,,,7,1,0724,0023,541B,033BF197,0.0,41,837.2,-20.029860,-44.313090,1.4,,25,0,3,28,,,,,,,,,,,,,,,,1,0.0,41,837.2,-44.313090,-20.029860,2025-10-06 07:53:00,7,1.4,10
2025-10-06 07:57:39,2025-10-06 07:52:51,2025-10-06 07:52:23,385349,862689070136285,808,GTIGF,4.19,,698407,12317,80,00,11,4,,0,0,0724,0023,541B,033BF197,0.0,41,837.2,-20.029860,-44.313090,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-06 08:52:57,2025-10-06 08:52:57,2025-10-06 08:50:37,385349,862689070136285,810,GTERI,4.13,00008200,698407,12786,80,00,11,,,9,1,0724,0023,0533,F8CB,0.0,41,837.2,-20.029860,-44.313090,1.4,,17,0,1,1800,,,,,,,,,,,,,,,,1,0.0,41,837.2,-44.313090,-20.029860,2025-10-06 08:50:37,9,1.4,10
