Dispositivo,Dia,Hora_Ignicao,Hora_Desligamento,Data_Hora_IGN,Data_Hora_IGF,Hodometro_IGN,Hodometro_IGF,Distancia_km
Teste,15/10/2025,07:02:44,07:05:31,2025-10-15 07:02:44,2025-10-15 07:05:31,552.3,553.0,0.7000000000000455
Teste,15/10/2025,07:07:26,07:09:44,2025-10-15 07:07:26,2025-10-15 07:09:44,553.0,553.8,0.7999999999999545
Teste,15/10/2025,07:10:57,07:52:06,2025-10-15 07:10:57,2025-10-15 07:52:06,553.8,573.0,19.200000000000045
Teste,15/10/2025,15:47:13,15:53:01,2025-10-15 15:47:13,2025-10-15 15:53:01,573.0,575.1,2.1000000000000227
Teste,15/10/2025,17:19:51,17:29:16,2025-10-15 17:19:51,2025-10-15 17:29:16,575.1,579.9,4.7999999999999545
Teste,15/10/2025,17:29:41,17:55:45,2025-10-15 17:29:41,2025-10-15 17:55:45,579.9,590.2,10.300000000000068
Teste,15/10/2025,18:02:21,18:12:32,2025-10-15 18:02:21,2025-10-15 18:12:32,590.2,595.9,5.699999999999932
Teste,15/10/2025,18:15:11,18:22:18,2025-10-15 18:15:11,2025-10-15 18:22:18,595.9,598.7,2.800000000000068
Teste,15/10/2025,19:13:21,19:20:57,2025-10-15 19:13:21,2025-10-15 19:20:57,598.7,601.4,2.699999999999932
Teste,16/10/2025,07:00:31,07:03:17,2025-10-16 07:00:31,2025-10-16 07:03:17,601.4,602.0,0.6000000000000227
Teste,16/10/2025,07:05:20,07:43:56,2025-10-16 07:05:20,2025-10-16 07:43:56,602.0,618.2,16.200000000000045
Teste,16/10/2025,09:44:58,09:56:27,2025-10-16 09:44:58,2025-10-16 09:56:27,618.2,622.1,3.8999999999999773
Teste,16/10/2025,15:17:12,15:30:00,2025-10-16 15:17:12,2025-10-16 15:30:00,622.1,625.9,3.7999999999999545
Teste,16/10/2025,17:22:53,17:33:01,2025-10-16 17:22:53,2025-10-16 17:33:01,625.9,629.1,3.2000000000000455
Teste,16/10/2025,17:36:35,18:06:31,2025-10-16 17:36:35,2025-10-16 18:06:31,629.1,642.6,13.5
